"MP","LC","FC","VC","RU","RD"
447,11,0,60.6,NA,NA
448,11,0,59.9,NA,NA
449,11,30900,49,NA,NA
450,11,19052,62.04,NA,NA
451,11,38134,77.15,NA,NA
452,11,86000,54.03,NA,NA
453,11,6000,106.01,NA,NA
454,11,6000,107.34,NA,NA
455,11,6000,129.44,NA,NA
456,11,6000,137.31,NA,NA
457,11,6000,116.87,NA,NA
458,11,6000,104.72,NA,NA
459,11,6000,136.81,NA,NA
460,11,6000,132.81,NA,NA
461,11,6000,123.19,NA,NA
462,11,44000,45.5,120,120
463,11,40000,43,120,120
464,11,50000,45.5,120,120
465,11,70000,83.02,NA,NA
466,11,17000,74,150,150
467,11,55000,130,150,150
468,11,17000,77,150,150
469,11,33000,89,150,150
470,11,1211444,106.92,NA,NA
471,11,0,48,NA,NA
472,11,79532,49.25,NA,NA
473,11,82769,46,NA,NA
474,11,0,38,NA,NA
475,11,82769,42,NA,NA
476,11,82769,41,NA,NA
477,11,45650,62.36,NA,NA
478,11,45650,62.36,NA,NA
479,11,45650,62.36,NA,NA
480,11,26394,99,NA,NA
481,11,56931,99,NA,NA
482,11,70800,74.08,NA,NA
483,11,70800,74.08,NA,NA
484,11,0,81.86,NA,NA
485,11,0,82.38,NA,NA
486,11,45171,84.27,NA,NA
487,11,60161,81.62,NA,NA
488,11,40942,83.78,NA,NA
489,11,28040,100.16,NA,NA
490,11,0,62.69,NA,NA
491,11,102310,67.6,NA,NA
492,11,0,77.46,NA,NA
493,11,0,61.18,NA,NA
494,11,0,60.53,NA,NA
495,11,0,95,NA,NA
496,11,0,80.97,NA,NA
497,11,98135,52.21,NA,NA
498,11,64272,96.61,NA,NA
499,11,65888,64.25,NA,NA
500,11,106397,93.43,NA,NA
501,11,0,95,NA,NA
502,11,0,75.53,NA,NA
503,11,0,76.07,NA,NA
504,11,0,105,NA,NA
505,11,0,77.75,NA,NA
506,11,105260,55.64,NA,NA
507,11,147236,85.14,NA,NA
508,11,0,75.96,NA,NA
509,11,0,71.53,NA,NA
510,11,0,93.09,NA,NA
511,11,0,60.84,NA,NA
512,11,0,82.25,NA,NA
513,11,0,94,NA,NA
514,11,0,66.55,NA,NA
515,11,50770,98.75,NA,NA
516,11,53878,96.36,NA,NA
517,11,61156,95.17,NA,NA
518,11,0,97,NA,NA
519,11,0,105,NA,NA
520,12,80000,23,114,360
521,12,80000,18,114,360
522,12,140000,180,54,288
523,12,50000,45,54,288
524,12,50000,32,150,288
525,12,56866,99,NA,NA
526,12,56866,99,NA,NA
527,12,0,29.3,NA,NA
528,12,0,29.5,NA,NA
529,12,150000,78,NA,NA
530,12,150000,78.5,NA,NA
531,12,20000,75.1,NA,NA
532,12,20000,73.65,NA,NA
533,12,50000,75.5,NA,NA
