"from","too","t","linecap"
12,11,1,2000
11,12,1,1850
12,11,2,2100
11,12,2,1300
12,11,3,2100
11,12,3,650
12,11,4,2100
11,12,4,150
12,11,5,2100
11,12,5,50
12,11,6,2100
11,12,6,0
12,11,7,2100
11,12,7,150
12,11,8,2000
11,12,8,400
12,11,9,2000
11,12,9,600
12,11,10,2000
11,12,10,1450
12,11,11,2000
11,12,11,2200
12,11,12,2000
11,12,12,2200
12,11,13,2000
11,12,13,2200
12,11,14,2000
11,12,14,1750
12,11,15,2000
11,12,15,1300
12,11,16,2000
11,12,16,1400
12,11,17,2000
11,12,17,1400
12,11,18,2000
11,12,18,1350
12,11,19,2000
11,12,19,1300
12,11,20,2000
11,12,20,1800
12,11,21,2000
11,12,21,2200
12,11,22,2000
11,12,22,2200
12,11,23,2000
11,12,23,2200
12,11,24,2000
11,12,24,2200
