"I","PI0","PI1","QI","LI","TI"
1,0,0,-16247.1,11,9
2,0.1,0.1,-4.6,11,9
3,0.2,0.2,-9.4,11,9
4,0.5,0.5,-40,11,9
5,0.6,0.6,-80,11,9
6,0.7,0.7,-21.3,11,9
7,1,1,-122.8,11,9
8,1.5,1.5,-2.5,11,9
9,2,2,-14.5,11,9
10,2.01,2.01,-43,11,9
11,2.5,2.5,-207.1,11,9
12,4.5,4.5,-336.9,11,9
13,5,5,-320.5,11,9
14,6,6,-213.7,11,9
15,6.03,6.03,-4,11,9
16,7,7,-163.1,11,9
17,8,8,-100.3,11,9
18,10,10,-20.5,11,9
19,10.5,10.5,-292,11,9
20,10.8,10.8,-122,11,9
21,11,11,-367.4,11,9
22,12.9,12.9,-57.8,11,9
23,15,15,-2.9,11,9
24,15.03,15.03,-7,11,9
25,16,16,-27.5,11,9
26,16.3,16.3,-292,11,9
27,17,17,-50,11,9
28,17.47,17.47,-50,11,9
29,17.94,17.94,-50,11,9
30,18.41,18.41,-50,11,9
31,18.5,18.5,-121.7,11,9
32,18.79,18.79,-65,11,9
33,19,19,-3.7,11,9
34,19.6,19.6,-65,11,9
35,20,20,-130,11,9
36,20.1,20.1,-165,11,9
37,20.47,20.47,-50,11,9
38,20.68,20.68,-90,11,9
39,20.94,20.94,-50,11,9
40,21.2,21.2,-350,11,9
41,21.3,21.3,-100,11,9
42,21.41,21.41,-50,11,9
43,21.79,21.79,-90,11,9
44,22.3,22.3,-200,11,9
45,22.5,22.5,-292,11,9
46,23,23,-239.7,11,9
47,23.03,23.03,-121.7,11,9
48,23.9,23.9,-72.6,11,9
49,24,24,-74.9,11,9
50,25,25,-77.4,11,9
51,25.01,25.01,-74.9,11,9
52,25.13,25.13,-45,11,9
53,25.47,25.47,-50,11,9
54,25.94,25.94,-50,11,9
55,26,26,-4.8,11,9
56,26.01,26.01,-121.7,11,9
57,26.02,26.02,-74.9,11,9
58,26.41,26.41,-50,11,9
59,27.03,27.03,-75.1,11,9
60,28,28,-4.9,11,9
61,28.2,28.2,-6.8,11,9
62,28.8,28.8,-292,11,9
63,28.96,28.96,-65,11,9
64,29,29,-165.7,11,9
65,30,30,-75,11,9
66,30.03,30.03,-11,11,9
67,30.27,30.27,-90,11,9
68,31.2,31.2,-57.8,11,9
69,31.57,31.57,-90,11,9
70,33.01,33.01,-100,11,9
71,34,34,-68.9,11,9
72,35,35,-80,11,9
73,35.01,35.01,-68.9,11,9
74,35.03,35.03,-10,11,9
75,35.13,35.13,-45,11,9
76,38,38,-80,11,9
77,40,40,-85.4,11,9
78,40.03,40.03,-1,11,9
79,40.13,40.13,-45,11,9
80,41.1,41.1,-72.6,11,9
81,42.5,42.5,-0.1,11,9
82,43,43,-49.1,11,9
83,45,45,-88,11,9
84,45.02,45.02,-20,11,9
85,47.5,47.5,-0.1,11,9
86,49,49,-89.8,11,9
87,50.5,50.5,-0.1,11,9
88,54,54,-4.6,11,9
89,55,55,-1.1,11,9
90,65.5,65.5,-10,11,9
91,70,70,-14.4,11,9
92,70.04,70.04,-27.2,11,9
93,72.8,72.8,-52.5,11,9
94,73.1,73.1,-52.5,11,9
95,73.34,73.34,-9.5,11,9
96,73.38,73.38,-27.2,11,9
97,73.5,73.5,-35,11,9
98,75.7,75.7,-74.2,11,9
99,76.69,76.69,-9.5,11,9
100,76.73,76.73,-27.2,11,9
101,79,79,-17,11,9
102,79.5,79.5,-10,11,9
103,80.03,80.03,-9.5,11,9
104,80.07,80.07,-27.1,11,9
105,84.6,84.6,-6,11,9
106,99.5,99.5,-656.3,11,9
107,145,145,-18,11,9
108,145.01,145.01,-9.3,11,9
109,160,160,-1300.1,11,9
110,180,180,-1296.9,11,9
111,180.3,180.3,-208.2,11,9
112,0,0,-16912.8,11,10
113,0.1,0.1,-4.6,11,10
114,0.2,0.2,-9.4,11,10
115,0.5,0.5,-40,11,10
116,0.6,0.6,-129.1,11,10
117,0.7,0.7,-22.7,11,10
118,1,1,-121.4,11,10
119,1.5,1.5,-1.4,11,10
120,2,2,-14.5,11,10
121,2.01,2.01,-43,11,10
122,2.5,2.5,-200.8,11,10
123,4.5,4.5,-330.5,11,10
124,5,5,-320.5,11,10
125,6,6,-224.3,11,10
126,6.03,6.03,-4,11,10
127,7,7,-174.2,11,10
128,8,8,-101.9,11,10
129,10,10,-20.5,11,10
130,10.5,10.5,-292,11,10
131,10.8,10.8,-122,11,10
132,11,11,-340.1,11,10
133,12.9,12.9,-57.8,11,10
134,15,15,-2.9,11,10
135,15.03,15.03,-7,11,10
136,16,16,-27.5,11,10
137,16.3,16.3,-292,11,10
138,17,17,-50,11,10
139,17.47,17.47,-50,11,10
140,17.94,17.94,-50,11,10
141,18.41,18.41,-50,11,10
142,18.5,18.5,-121.7,11,10
143,18.79,18.79,-65,11,10
144,19,19,-2.6,11,10
145,19.6,19.6,-65,11,10
146,20,20,-130,11,10
147,20.1,20.1,-165,11,10
148,20.47,20.47,-50,11,10
149,20.68,20.68,-90,11,10
150,20.94,20.94,-50,11,10
151,21.2,21.2,-350,11,10
152,21.3,21.3,-100,11,10
153,21.41,21.41,-50,11,10
154,21.79,21.79,-90,11,10
155,22.3,22.3,-200,11,10
156,22.5,22.5,-292,11,10
157,23,23,-239.7,11,10
158,23.03,23.03,-121.7,11,10
159,23.9,23.9,-72.6,11,10
160,24,24,-74.6,11,10
161,25,25,-77.4,11,10
162,25.01,25.01,-74.6,11,10
163,25.13,25.13,-45,11,10
164,25.47,25.47,-50,11,10
165,25.94,25.94,-50,11,10
166,26,26,-4.8,11,10
167,26.01,26.01,-121.7,11,10
168,26.02,26.02,-74.6,11,10
169,26.41,26.41,-50,11,10
170,27.03,27.03,-74.7,11,10
171,28,28,-4.9,11,10
172,28.2,28.2,-6.8,11,10
173,28.8,28.8,-292,11,10
174,28.96,28.96,-65,11,10
175,29,29,-165.7,11,10
176,30,30,-75,11,10
177,30.03,30.03,-11,11,10
178,30.27,30.27,-90,11,10
179,31.2,31.2,-57.8,11,10
180,31.57,31.57,-90,11,10
181,33.01,33.01,-100,11,10
182,34,34,-68.9,11,10
183,35,35,-80,11,10
184,35.01,35.01,-68.9,11,10
185,35.03,35.03,-10,11,10
186,35.13,35.13,-45,11,10
187,38,38,-80,11,10
188,40,40,-85.4,11,10
189,40.03,40.03,-1,11,10
190,40.13,40.13,-45,11,10
191,41.1,41.1,-72.6,11,10
192,42.5,42.5,-0.1,11,10
193,45,45,-88,11,10
194,45.02,45.02,-20,11,10
195,47.5,47.5,-0.1,11,10
196,49,49,-93.9,11,10
197,50.5,50.5,-0.1,11,10
198,54,54,-5.3,11,10
199,55,55,-1.1,11,10
200,65.5,65.5,-10,11,10
201,70,70,-14.4,11,10
202,70.04,70.04,-27.2,11,10
203,72.8,72.8,-52.5,11,10
204,73.1,73.1,-52.5,11,10
205,73.34,73.34,-9.5,11,10
206,73.38,73.38,-27.2,11,10
207,73.5,73.5,-35,11,10
208,75.7,75.7,-74.2,11,10
209,76.69,76.69,-9.5,11,10
210,76.73,76.73,-27.2,11,10
211,79,79,-17,11,10
212,79.5,79.5,-10,11,10
213,80.03,80.03,-9.5,11,10
214,80.07,80.07,-27.1,11,10
215,84.6,84.6,-6,11,10
216,99.5,99.5,-654.6,11,10
217,145,145,-18,11,10
218,145.01,145.01,-9.3,11,10
219,160,160,-1300.1,11,10
220,180,180,-1296.9,11,10
221,180.3,180.3,-208.2,11,10
222,0,0,-17877,11,11
223,0.1,0.1,-4.6,11,11
224,0.2,0.2,-9.4,11,11
225,0.5,0.5,-40,11,11
226,0.6,0.6,-129.1,11,11
227,0.7,0.7,-23.2,11,11
228,1,1,-120.3,11,11
229,1.5,1.5,-1.2,11,11
230,2,2,-14.5,11,11
231,2.01,2.01,-43,11,11
232,2.5,2.5,-193.4,11,11
233,4.5,4.5,-314.9,11,11
234,5,5,-320.5,11,11
235,6,6,-240.1,11,11
236,6.03,6.03,-4,11,11
237,7,7,-179.4,11,11
238,8,8,-103,11,11
239,10,10,-20.5,11,11
240,10.5,10.5,-292,11,11
241,10.8,10.8,-122,11,11
242,11,11,-322.5,11,11
243,12.9,12.9,-57.8,11,11
244,15,15,-2.8,11,11
245,15.03,15.03,-7,11,11
246,16,16,-27.5,11,11
247,16.3,16.3,-292,11,11
248,17,17,-50,11,11
249,17.47,17.47,-50,11,11
250,17.94,17.94,-50,11,11
251,18.41,18.41,-50,11,11
252,18.5,18.5,-121.7,11,11
253,18.79,18.79,-65,11,11
254,19,19,-2.8,11,11
255,19.6,19.6,-65,11,11
256,20,20,-130,11,11
257,20.1,20.1,-165,11,11
258,20.47,20.47,-50,11,11
259,20.68,20.68,-90,11,11
260,20.94,20.94,-50,11,11
261,21.2,21.2,-350,11,11
262,21.3,21.3,-100,11,11
263,21.41,21.41,-50,11,11
264,21.79,21.79,-90,11,11
265,22.3,22.3,-200,11,11
266,22.5,22.5,-292,11,11
267,23,23,-239.7,11,11
268,23.03,23.03,-121.7,11,11
269,23.9,23.9,-72.6,11,11
270,24,24,-76.3,11,11
271,25,25,-52.5,11,11
272,25.01,25.01,-76.3,11,11
273,25.13,25.13,-45,11,11
274,25.47,25.47,-50,11,11
275,25.94,25.94,-50,11,11
276,26,26,-4.8,11,11
277,26.01,26.01,-121.7,11,11
278,26.02,26.02,-76.3,11,11
279,26.41,26.41,-50,11,11
280,27.03,27.03,-75.7,11,11
281,28,28,-4.9,11,11
282,28.2,28.2,-6.8,11,11
283,28.8,28.8,-292,11,11
284,28.96,28.96,-65,11,11
285,29,29,-165.7,11,11
286,30,30,-50,11,11
287,30.03,30.03,-11,11,11
288,30.27,30.27,-90,11,11
289,31.2,31.2,-57.8,11,11
290,31.57,31.57,-90,11,11
291,33.01,33.01,-100,11,11
292,34,34,-68.9,11,11
293,35,35,-80,11,11
294,35.01,35.01,-68.9,11,11
295,35.03,35.03,-10,11,11
296,35.13,35.13,-45,11,11
297,38,38,-80,11,11
298,40,40,-85.4,11,11
299,40.03,40.03,-1,11,11
300,40.13,40.13,-45,11,11
301,41.1,41.1,-72.6,11,11
302,42.5,42.5,-0.1,11,11
303,45,45,-88,11,11
304,45.02,45.02,-20,11,11
305,47.5,47.5,-0.1,11,11
306,49,49,-94.1,11,11
307,50.5,50.5,-0.1,11,11
308,54,54,-5.2,11,11
309,55,55,-1.1,11,11
310,65.5,65.5,-10,11,11
311,70,70,-14.4,11,11
312,70.04,70.04,-27.2,11,11
313,72.8,72.8,-52.5,11,11
314,73.1,73.1,-52.5,11,11
315,73.34,73.34,-9.5,11,11
316,73.38,73.38,-27.2,11,11
317,73.5,73.5,-35,11,11
318,75.7,75.7,-74.2,11,11
319,76.69,76.69,-9.5,11,11
320,76.73,76.73,-27.2,11,11
321,79,79,-17,11,11
322,79.5,79.5,-10,11,11
323,80.03,80.03,-9.5,11,11
324,80.07,80.07,-27.1,11,11
325,84.6,84.6,-6,11,11
326,99.5,99.5,-652,11,11
327,145,145,-18,11,11
328,145.01,145.01,-9.3,11,11
329,160,160,-1300.1,11,11
330,180,180,-1296.9,11,11
331,180.3,180.3,-208.2,11,11
332,0,0,-18852,11,12
333,0.1,0.1,-4.6,11,12
334,0.2,0.2,-9.4,11,12
335,0.5,0.5,-40,11,12
336,0.6,0.6,-129.1,11,12
337,0.7,0.7,-26.2,11,12
338,1,1,-119.7,11,12
339,1.5,1.5,-2.4,11,12
340,2,2,-14.5,11,12
341,2.01,2.01,-43,11,12
342,2.5,2.5,-185.3,11,12
343,4.5,4.5,-300.1,11,12
344,5,5,-320.5,11,12
345,6,6,-243.5,11,12
346,6.03,6.03,-4,11,12
347,7,7,-200.3,11,12
348,8,8,-104,11,12
349,10,10,-20.5,11,12
350,10.5,10.5,-292,11,12
351,10.8,10.8,-122,11,12
352,11,11,-321.6,11,12
353,12.9,12.9,-57.8,11,12
354,15,15,-2.8,11,12
355,15.03,15.03,-7,11,12
356,16,16,-27.5,11,12
357,16.3,16.3,-292,11,12
358,17,17,-50,11,12
359,17.47,17.47,-50,11,12
360,17.94,17.94,-50,11,12
361,18.41,18.41,-50,11,12
362,18.5,18.5,-121.7,11,12
363,18.79,18.79,-65,11,12
364,19,19,-5,11,12
365,19.6,19.6,-65,11,12
366,20,20,-130,11,12
367,20.1,20.1,-165,11,12
368,20.47,20.47,-50,11,12
369,20.68,20.68,-90,11,12
370,20.94,20.94,-50,11,12
371,21.2,21.2,-350,11,12
372,21.3,21.3,-100,11,12
373,21.4,21.4,-72.6,11,12
374,21.41,21.41,-50,11,12
375,21.79,21.79,-90,11,12
376,22.3,22.3,-200,11,12
377,22.5,22.5,-292,11,12
378,23,23,-239.7,11,12
379,23.03,23.03,-121.7,11,12
380,23.9,23.9,-72.6,11,12
381,24,24,-73.9,11,12
382,25,25,-52.5,11,12
383,25.01,25.01,-73.9,11,12
384,25.13,25.13,-45,11,12
385,25.47,25.47,-50,11,12
386,25.94,25.94,-50,11,12
387,26,26,-4.8,11,12
388,26.01,26.01,-121.7,11,12
389,26.02,26.02,-73.9,11,12
390,26.41,26.41,-50,11,12
391,27.03,27.03,-73.9,11,12
392,28,28,-4.9,11,12
393,28.2,28.2,-6.8,11,12
394,28.8,28.8,-292,11,12
395,28.96,28.96,-65,11,12
396,29,29,-165.7,11,12
397,30,30,-50,11,12
398,30.03,30.03,-11,11,12
399,30.27,30.27,-90,11,12
400,31.2,31.2,-57.8,11,12
401,31.57,31.57,-90,11,12
402,33.01,33.01,-100,11,12
403,33.8,33.8,-82.3,11,12
404,34,34,-68.9,11,12
405,35,35,-80,11,12
406,35.01,35.01,-68.9,11,12
407,35.03,35.03,-10,11,12
408,35.13,35.13,-45,11,12
409,38,38,-80,11,12
410,40,40,-85.4,11,12
411,40.03,40.03,-1,11,12
412,40.13,40.13,-45,11,12
413,41.1,41.1,-72.6,11,12
414,42.5,42.5,-0.1,11,12
415,45,45,-88,11,12
416,45.02,45.02,-20,11,12
417,47.5,47.5,-0.1,11,12
418,49,49,-94.1,11,12
419,50.5,50.5,-0.1,11,12
420,54,54,-5.2,11,12
421,55,55,-1.1,11,12
422,65.5,65.5,-10,11,12
423,70,70,-14.4,11,12
424,70.04,70.04,-27.2,11,12
425,72.8,72.8,-52.5,11,12
426,73.1,73.1,-52.5,11,12
427,73.34,73.34,-9.5,11,12
428,73.38,73.38,-27.2,11,12
429,73.5,73.5,-35,11,12
430,75.7,75.7,-74.2,11,12
431,76.69,76.69,-9.5,11,12
432,76.73,76.73,-27.2,11,12
433,79,79,-17,11,12
434,79.5,79.5,-10,11,12
435,80.03,80.03,-9.5,11,12
436,80.07,80.07,-27.1,11,12
437,84.6,84.6,-6,11,12
438,99.5,99.5,-648.3,11,12
439,145,145,-18,11,12
440,145.01,145.01,-9.3,11,12
441,160,160,-1405.2,11,12
442,180,180,-1296.9,11,12
443,180.3,180.3,-208.2,11,12
444,0,0,-19849.1,11,13
445,0.1,0.1,-4.6,11,13
446,0.2,0.2,-9.4,11,13
447,0.5,0.5,-40,11,13
448,0.6,0.6,-129.1,11,13
449,0.7,0.7,-28.1,11,13
450,1,1,-120,11,13
451,1.5,1.5,-5.5,11,13
452,2,2,-14.5,11,13
453,2.01,2.01,-43,11,13
454,2.5,2.5,-176.3,11,13
455,3,3,-20.5,11,13
456,4.5,4.5,-293.5,11,13
457,5,5,-300,11,13
458,6,6,-279.2,11,13
459,6.03,6.03,-4,11,13
460,7,7,-213.2,11,13
461,8,8,-103.3,11,13
462,10.5,10.5,-292,11,13
463,10.8,10.8,-122,11,13
464,11,11,-350.2,11,13
465,12.9,12.9,-57.8,11,13
466,15,15,-2.8,11,13
467,15.03,15.03,-7,11,13
468,16,16,-27.5,11,13
469,16.3,16.3,-292,11,13
470,17,17,-50,11,13
471,17.47,17.47,-50,11,13
472,17.94,17.94,-50,11,13
473,18.41,18.41,-50,11,13
474,18.5,18.5,-121.7,11,13
475,18.79,18.79,-65,11,13
476,19,19,-9,11,13
477,19.6,19.6,-65,11,13
478,20,20,-100,11,13
479,20.1,20.1,-165,11,13
480,20.47,20.47,-50,11,13
481,20.68,20.68,-90,11,13
482,20.94,20.94,-50,11,13
483,21.2,21.2,-350,11,13
484,21.3,21.3,-100,11,13
485,21.4,21.4,-72.6,11,13
486,21.41,21.41,-50,11,13
487,21.79,21.79,-90,11,13
488,22.3,22.3,-200,11,13
489,22.5,22.5,-292,11,13
490,23,23,-239.7,11,13
491,23.03,23.03,-121.7,11,13
492,23.9,23.9,-72.6,11,13
493,24,24,-74.2,11,13
494,25,25,-52.5,11,13
495,25.01,25.01,-74.2,11,13
496,25.13,25.13,-45,11,13
497,25.47,25.47,-50,11,13
498,25.94,25.94,-50,11,13
499,26,26,-4.8,11,13
500,26.01,26.01,-121.7,11,13
501,26.02,26.02,-74.2,11,13
502,26.41,26.41,-50,11,13
503,27.03,27.03,-74.5,11,13
504,28,28,-4.9,11,13
505,28.2,28.2,-6.8,11,13
506,28.8,28.8,-292,11,13
507,28.96,28.96,-65,11,13
508,29,29,-165.7,11,13
509,30,30,-50,11,13
510,30.03,30.03,-11,11,13
511,30.27,30.27,-90,11,13
512,31.2,31.2,-57.8,11,13
513,31.57,31.57,-90,11,13
514,33.01,33.01,-100,11,13
515,33.8,33.8,-82.3,11,13
516,34,34,-68.9,11,13
517,35,35,-80,11,13
518,35.01,35.01,-68.9,11,13
519,35.03,35.03,-10,11,13
520,35.13,35.13,-45,11,13
521,38,38,-80,11,13
522,40,40,-85.4,11,13
523,40.03,40.03,-1,11,13
524,40.13,40.13,-45,11,13
525,41.1,41.1,-72.6,11,13
526,42.5,42.5,-0.1,11,13
527,45,45,-88,11,13
528,45.02,45.02,-20,11,13
529,47.5,47.5,-0.1,11,13
530,49,49,-94.1,11,13
531,50.5,50.5,-0.1,11,13
532,54,54,-5.2,11,13
533,55,55,-1.1,11,13
534,65.5,65.5,-10,11,13
535,70,70,-14.4,11,13
536,70.04,70.04,-27.2,11,13
537,72.8,72.8,-52.5,11,13
538,73.1,73.1,-52.5,11,13
539,73.34,73.34,-9.5,11,13
540,73.38,73.38,-27.2,11,13
541,73.5,73.5,-35,11,13
542,75.7,75.7,-74.2,11,13
543,76.69,76.69,-9.5,11,13
544,76.73,76.73,-27.2,11,13
545,79,79,-17,11,13
546,79.5,79.5,-10,11,13
547,80.03,80.03,-9.5,11,13
548,80.07,80.07,-27.1,11,13
549,84.6,84.6,-6,11,13
550,99.5,99.5,-646.2,11,13
551,145,145,-18,11,13
552,145.01,145.01,-9.3,11,13
553,160,160,-1405.2,11,13
554,180,180,-1296.9,11,13
555,180.3,180.3,-208.2,11,13
556,0,0,-20164.3,11,14
557,0.1,0.1,-4.6,11,14
558,0.2,0.2,-9.4,11,14
559,0.5,0.5,-40,11,14
560,0.6,0.6,-129.1,11,14
561,0.7,0.7,-34.7,11,14
562,1,1,-121.2,11,14
563,1.5,1.5,-9.2,11,14
564,2,2,-14.5,11,14
565,2.01,2.01,-43,11,14
566,2.5,2.5,-176,11,14
567,3,3,-20.5,11,14
568,4.5,4.5,-289.2,11,14
569,5,5,-300,11,14
570,6,6,-291.1,11,14
571,6.03,6.03,-4,11,14
572,7,7,-217.7,11,14
573,8,8,-103.1,11,14
574,10.5,10.5,-292,11,14
575,10.8,10.8,-122,11,14
576,11,11,-397.2,11,14
577,12.9,12.9,-57.8,11,14
