"H","PH","QH","TH","MP","AR","LH","VH"
1,72.12,-402.2,1,447,0.8,11,60.6
2,72.12,-402.2,2,447,0.8,11,60.6
3,72.12,-402.2,3,447,0.8,11,60.6
4,72.12,-402.2,4,447,0.8,11,60.6
5,72.12,-402.2,5,447,0.8,11,60.6
6,72.12,-402.2,6,447,0.8,11,60.6
7,72.12,-402.2,7,447,0.8,11,60.6
8,72.12,-402.2,8,447,0.8,11,60.6
9,24.24,-80,9,447,0.8,11,60.6
10,72.12,-322.2,9,447,0,11,60.6
11,24.24,-120,10,447,0.8,11,60.6
12,72.12,-282.2,10,447,0,11,60.6
13,24.24,-120,11,447,0.8,11,60.6
14,72.12,-282.2,11,447,0,11,60.6
15,24.24,-120,12,447,0.8,11,60.6
16,72.12,-282.2,12,447,0,11,60.6
17,24.24,-120,13,447,0.8,11,60.6
18,72.12,-282.2,13,447,0,11,60.6
19,24.24,-135,14,447,0.8,11,60.6
20,72.12,-267.2,14,447,0,11,60.6
21,24.24,-275,15,447,0.8,11,60.6
22,72.12,-127.2,15,447,0,11,60.6
23,24.24,-381.4,16,447,0.8,11,60.6
24,72.12,-20.8,16,447,0,11,60.6
25,24.24,-382.4,17,447,0.8,11,60.6
26,72.12,-19.8,17,447,0,11,60.6
27,24.24,-383.1,18,447,0.8,11,60.6
28,72.12,-19.1,18,447,0,11,60.6
29,24.24,-383.1,19,447,0.8,11,60.6
30,72.12,-19.1,19,447,0,11,60.6
31,24.24,-384.4,20,447,0.8,11,60.6
32,72.12,-17.8,20,447,0,11,60.6
33,24.24,-387.7,21,447,0.8,11,60.6
34,72.12,-14.5,21,447,0,11,60.6
35,24.24,-391.2,22,447,0.8,11,60.6
36,72.12,-11,22,447,0,11,60.6
37,24.24,-391.7,23,447,0.8,11,60.6
38,72.12,-10.5,23,447,0,11,60.6
39,24.24,-392.1,24,447,0.8,11,60.6
40,72.12,-10.1,24,447,0,11,60.6
41,72.12,-397,1,448,0.8,11,59.9
42,72.12,-397,2,448,0.8,11,59.9
43,72.12,-397,3,448,0.8,11,59.9
44,72.12,-397,4,448,0.8,11,59.9
45,72.12,-397,5,448,0.8,11,59.9
46,72.12,-397,6,448,0.8,11,59.9
47,72.12,-397,7,448,0.8,11,59.9
48,72.12,-397,8,448,0.8,11,59.9
49,23.96,-80,9,448,0.8,11,59.9
50,72.12,-317,9,448,0,11,59.9
51,23.96,-120,10,448,0.8,11,59.9
52,72.12,-277,10,448,0,11,59.9
53,23.96,-120,11,448,0.8,11,59.9
54,72.12,-277,11,448,0,11,59.9
55,23.96,-120,12,448,0.8,11,59.9
56,72.12,-277,12,448,0,11,59.9
57,23.96,-120,13,448,0.8,11,59.9
58,72.12,-277,13,448,0,11,59.9
59,23.96,-140,14,448,0.8,11,59.9
60,72.12,-257,14,448,0,11,59.9
61,23.96,-270,15,448,0.8,11,59.9
62,72.12,-127,15,448,0,11,59.9
63,23.96,-380.4,16,448,0.8,11,59.9
64,72.12,-16.6,16,448,0,11,59.9
65,23.96,-381.4,17,448,0.8,11,59.9
66,72.12,-15.6,17,448,0,11,59.9
67,23.96,-382.1,18,448,0.8,11,59.9
68,72.12,-14.9,18,448,0,11,59.9
69,23.96,-382.1,19,448,0.8,11,59.9
70,72.12,-14.9,19,448,0,11,59.9
71,23.96,-383.4,20,448,0.8,11,59.9
72,72.12,-13.6,20,448,0,11,59.9
73,23.96,-386.7,21,448,0.8,11,59.9
74,72.12,-10.3,21,448,0,11,59.9
75,23.96,-390.1,22,448,0.8,11,59.9
76,72.12,-6.9,22,448,0,11,59.9
77,23.96,-390.7,23,448,0.8,11,59.9
78,72.12,-6.3,23,448,0,11,59.9
79,23.96,-391.1,24,448,0.8,11,59.9
80,72.12,-5.9,24,448,0,11,59.9
81,19.6,-175,1,449,0.8,11,49
82,19.6,-45,1,449,0,11,49
83,19.6,-5,1,449,0,11,49
84,19.6,-10,1,449,0,11,49
85,19.8,-10,1,449,0,11,49
86,19.92,-10,1,449,0,11,49
87,20.4,-10,1,449,0,11,49
88,20.6,-20,1,449,0,11,49
89,72.12,-500.2,1,449,0,11,49
90,19.6,-220,2,449,0.8,11,49
91,19.6,-5,2,449,0,11,49
92,19.6,-10,2,449,0,11,49
93,19.8,-10,2,449,0,11,49
94,19.92,-10,2,449,0,11,49
95,20,-10,2,449,0,11,49
96,20.4,-10,2,449,0,11,49
97,20.6,-10,2,449,0,11,49
98,72.12,-500.2,2,449,0,11,49
99,19.6,-220,3,449,0.8,11,49
100,19.6,-5,3,449,0,11,49
101,19.6,-10,3,449,0,11,49
102,19.8,-10,3,449,0,11,49
103,19.92,-10,3,449,0,11,49
104,20,-10,3,449,0,11,49
105,20.4,-10,3,449,0,11,49
106,20.6,-10,3,449,0,11,49
107,72.12,-500.2,3,449,0,11,49
108,19.6,-220,4,449,0.8,11,49
109,19.6,-5,4,449,0,11,49
110,19.6,-10,4,449,0,11,49
111,19.8,-10,4,449,0,11,49
112,19.92,-10,4,449,0,11,49
113,20,-10,4,449,0,11,49
114,20.4,-10,4,449,0,11,49
115,20.6,-10,4,449,0,11,49
116,72.12,-500.2,4,449,0,11,49
117,19.6,-220,5,449,0.8,11,49
118,72.12,-565.2,5,449,0,11,49
119,19.6,-215,6,449,0.8,11,49
120,72.12,-570.2,6,449,0,11,49
121,19.6,-270,7,449,0.8,11,49
122,72.12,-515.2,7,449,0,11,49
123,19.6,-415,8,449,0.8,11,49
124,72.12,-370.2,8,449,0,11,49
125,19.6,-445,9,449,0.8,11,49
126,19.6,-15,9,449,0,11,49
127,19.8,-20,9,449,0,11,49
128,19.92,-40,9,449,0,11,49
129,20,-40,9,449,0,11,49
130,20.2,-40,9,449,0,11,49
131,20.4,-50,9,449,0,11,49
132,20.8,-50,9,449,0,11,49
133,72.12,-85.2,9,449,0,11,49
134,19.6,-445,10,449,0.8,11,49
135,19.6,-15,10,449,0,11,49
136,19.6,-20,10,449,0,11,49
137,19.8,-40,10,449,0,11,49
