"MP","LC","FC","VC","RU","RD"
1,11,0,99.5,NA,NA
2,11,10000,50.15,NA,NA
3,11,0,66.51,NA,NA
4,11,50770,99.89,NA,NA
5,11,53878,97.72,NA,NA
6,11,61156,96.48,NA,NA
7,11,24000,45.5,120,120
8,11,40000,43,120,120
9,11,50000,45.5,120,120
10,11,0,44.02,NA,NA
11,11,17000,74,150,150
12,11,55000,130,150,150
13,11,17000,77,150,150
14,11,33000,89,150,150
15,11,0,62.12,NA,NA
16,11,102339,67.6,NA,NA
17,11,0,77.46,NA,NA
18,11,0,61.18,NA,NA
19,11,0,95,NA,NA
20,11,0,60.53,NA,NA
21,11,0,80.97,NA,NA
22,11,98407,52.21,NA,NA
23,11,64086,96.61,NA,NA
24,11,65826,64.25,NA,NA
25,11,106085,93.43,NA,NA
26,11,0,76.07,NA,NA
27,11,0,95,NA,NA
28,11,0,105,NA,NA
29,11,0,77.75,NA,NA
30,11,105083,55.64,NA,NA
31,11,147896,85.14,NA,NA
32,11,0,93.09,NA,NA
33,11,0,71.53,NA,NA
34,11,0,75.96,NA,NA
35,11,0,62.62,NA,NA
36,11,0,60.3,NA,NA
37,11,0,53.1,NA,NA
38,11,0,75.53,NA,NA
39,11,0,82.25,NA,NA
40,11,0,94,NA,NA
41,11,0,97,NA,NA
42,11,0,180.3,NA,NA
43,11,0,105,NA,NA
44,11,1211444,106.92,NA,NA
45,11,0,48,NA,NA
46,11,0,49.25,NA,NA
47,11,81753,46,NA,NA
48,11,81753,45.5,NA,NA
49,11,0,38.5,NA,NA
50,11,0,38,NA,NA
51,11,45650,62.36,NA,NA
52,11,45650,62.36,NA,NA
53,11,45650,62.36,NA,NA
54,11,26394,99,NA,NA
55,11,56931,99,NA,NA
56,11,70800,74.08,NA,NA
57,11,70800,74.08,NA,NA
58,11,0,81.86,NA,NA
59,11,41958,82.38,NA,NA
60,11,45171,84.27,NA,NA
61,11,60161,81.62,NA,NA
62,11,40942,83.78,NA,NA
63,11,28040,100.16,NA,NA
64,11,19052,61.86,NA,NA
65,11,38134,77.15,NA,NA
66,11,86000,55.9,NA,NA
67,11,6000,105.35,NA,NA
68,11,6000,109.97,NA,NA
69,11,6000,128.76,NA,NA
70,11,6000,136.1,NA,NA
71,11,6000,115.66,NA,NA
72,11,6000,103.48,NA,NA
73,11,6000,135.6,NA,NA
74,11,6000,131.6,NA,NA
75,11,6000,122.88,NA,NA
76,11,0,55,NA,NA
77,12,80000,20,114,360
78,12,80000,22,114,360
79,12,140000,180,240,600
80,12,50000,46,240,600
81,12,50000,47.1,240,600
82,12,0,29,NA,NA
83,12,0,29.2,NA,NA
84,12,0,29.4,NA,NA
85,12,0,29.6,NA,NA
86,12,150000,78,NA,NA
87,12,150000,78.5,NA,NA
88,12,20000,75.1,NA,NA
89,12,20000,73.65,NA,NA
90,12,50000,75.5,NA,NA
91,12,56866,99,NA,NA
92,12,56866,99,NA,NA
