"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,14617.3,11,3
2,180,180,33.9,11,3
3,150,150,8.6,11,3
4,149.74,149.74,47,11,3
5,140,140,14.6,11,3
6,121.6,121.6,6.5,11,3
7,120,120,55.1,11,3
8,110,110,678.1,11,3
9,102,102,0.7,11,3
10,100,100,273.3,11,3
11,91,91,0.1,11,3
12,90,90,87.3,11,3
13,89.99,89.99,200,11,3
14,89,89,0.1,11,3
15,85,85,1296.1,11,3
16,84.98,84.98,300,11,3
17,80,80,340,11,3
18,76,76,0.1,11,3
19,75,75,86.2,11,3
20,73.86,73.86,10.6,11,3
21,70,70,3.6,11,3
22,60,60,40,11,3
23,59.32,59.32,0.1,11,3
24,53,53,5.4,11,3
25,52.07,52.07,0.5,11,3
26,50,50,167.4,11,3
27,48,48,58.3,11,3
28,47.5,47.5,5.8,11,3
29,45,45,114.8,11,3
30,43.4,43.4,20,11,3
31,43,43,100,11,3
32,42.67,42.67,7.7,11,3
33,42.5,42.5,5.7,11,3
34,42,42,43.7,11,3
35,40.4,40.4,20,11,3
36,40,40,65.4,11,3
37,39,39,46.9,11,3
38,38.4,38.4,10,11,3
39,38,38,100,11,3
40,36,36,43.7,11,3
41,35,35,12.8,11,3
42,33,33,58.3,11,3
43,32.76,32.76,140,11,3
44,32.5,32.5,2.9,11,3
45,30.24,30.24,0.9,11,3
46,30,30,105.4,11,3
47,25,25,6.3,11,3
48,23.76,23.76,88.9,11,3
49,20.9,20.9,105,11,3
50,20.89,20.89,105,11,3
51,20.88,20.88,105,11,3
52,20.8,20.8,73,11,3
53,20.79,20.79,73,11,3
54,20.75,20.75,75,11,3
55,20.7,20.7,100,11,3
56,20.69,20.69,100,11,3
57,20,20,36.1,11,3
58,17,17,90,11,3
59,15,15,0.7,11,3
60,10.1,10.1,72,11,3
61,10,10,103.7,11,3
62,9,9,0.3,11,3
63,5.2,5.2,72,11,3
64,5,5,98.9,11,3
65,3.13,3.13,52,11,3
66,3.02,3.02,0.2,11,3
67,3,3,193.2,11,3
68,2,2,200,11,3
69,1,1,309.3,11,3
70,0.5,0.5,100.8,11,3
71,0.2,0.2,8.4,11,3
72,0.13,0.13,52,11,3
73,0.1,0.1,58.2,11,3
74,0,0,4692.8,11,3
75,180.3,180.3,13994.1,11,4
76,180,180,53.9,11,4
77,150,150,8.2,11,4
78,149.74,149.74,34.7,11,4
79,140,140,14.1,11,4
80,121.6,121.6,6.5,11,4
81,120,120,52.8,11,4
82,110,110,678,11,4
83,102,102,0.7,11,4
84,100,100,266.7,11,4
85,91,91,0.1,11,4
86,90,90,85.9,11,4
87,89.99,89.99,200,11,4
88,89,89,0.1,11,4
89,85,85,0.9,11,4
90,84.98,84.98,300,11,4
91,80.78,80.78,1290.1,11,4
92,80,80,340,11,4
93,75,75,84,11,4
94,71.97,71.97,10,11,4
95,70,70,3.6,11,4
96,57.44,57.44,0.1,11,4
97,55,55,40,11,4
98,53,53,5.2,11,4
99,52.07,52.07,0.5,11,4
100,50,50,165,11,4
101,48,48,61.9,11,4
102,47.5,47.5,5.7,11,4
103,45,45,83.7,11,4
104,43.4,43.4,20,11,4
105,42.67,42.67,20,11,4
106,42.5,42.5,5.6,11,4
107,42,42,46.4,11,4
108,41,41,100,11,4
109,40.4,40.4,20,11,4
110,40,40,64.4,11,4
111,39,39,46.4,11,4
112,38.4,38.4,10,11,4
113,36,36,49.4,11,4
114,35,35,12.3,11,4
115,33,33,61.9,11,4
116,32.5,32.5,2.8,11,4
117,32,32,100,11,4
118,30.96,30.96,140,11,4
119,30,30,105.3,11,4
120,28.34,28.34,0.9,11,4
121,25,25,38.9,11,4
122,24.63,24.63,99.9,11,4
123,20.9,20.9,105,11,4
124,20.89,20.89,105,11,4
125,20.88,20.88,105,11,4
126,20.8,20.8,73,11,4
127,20.79,20.79,73,11,4
128,20.75,20.75,75,11,4
129,20.7,20.7,100,11,4
130,20.69,20.69,100,11,4
131,20,20,36,11,4
132,19,19,0.3,11,4
133,17,17,90,11,4
134,15,15,0.7,11,4
135,10.1,10.1,72,11,4
136,10,10,103.5,11,4
137,5.2,5.2,72,11,4
138,5,5,98.8,11,4
139,3.13,3.13,52,11,4
140,3,3,193.2,11,4
141,2.83,2.83,0.2,11,4
142,2,2,200,11,4
143,1,1,311.1,11,4
144,0.5,0.5,101,11,4
145,0.2,0.2,9,11,4
146,0.13,0.13,52,11,4
147,0.1,0.1,58.3,11,4
148,0,0,4577.3,11,4
149,180.3,180.3,13823.9,11,5
150,180,180,74.4,11,5
151,150,150,8,11,5
152,149.74,149.74,24.9,11,5
153,140,140,13.5,11,5
154,121.6,121.6,13,11,5
155,120,120,52,11,5
156,110,110,690.4,11,5
157,102,102,0.7,11,5
158,100,100,262.5,11,5
159,91,91,0.1,11,5
160,90,90,85.5,11,5
161,89.99,89.99,200,11,5
162,89,89,0.1,11,5
163,85,85,0.9,11,5
164,84.98,84.98,300,11,5
165,80.78,80.78,1238.3,11,5
166,80,80,340,11,5
167,75,75,83.6,11,5
168,70.68,70.68,10,11,5
169,70,70,3.5,11,5
170,55.48,55.48,0.1,11,5
171,55,55,40,11,5
172,52.07,52.07,0.5,11,5
173,50,50,170.2,11,5
174,48,48,61.8,11,5
175,45.5,45.5,5.5,11,5
176,45,45,83.7,11,5
177,43.4,43.4,20,11,5
178,42.67,42.67,23.3,11,5
179,42,42,46.4,11,5
180,40.5,40.5,5.5,11,5
181,40.4,40.4,20,11,5
182,40,40,64.6,11,5
183,39,39,46.4,11,5
