"H","PH","QH","TH","MP","AR","LH","VH"
1,52,-756.2,1,1,0.8,11,99.5
2,52,-757.1,2,1,0.8,11,99.5
3,52,-759,3,1,0.8,11,99.5
4,52,-759.1,4,1,0.8,11,99.5
5,52,-759.2,5,1,0.8,11,99.5
6,52,-759.4,6,1,0.8,11,99.5
7,52,-760.1,7,1,0.8,11,99.5
8,39.8,-50,8,1,0.8,11,99.5
9,39.8,-550,8,1,0,11,99.5
10,39.8,-161.2,8,1,0,11,99.5
11,39.8,-300,9,1,0.8,11,99.5
12,39.8,-300,9,1,0,11,99.5
13,39.8,-162.4,9,1,0,11,99.5
14,39.8,-600,10,1,0.8,11,99.5
15,39.8,-162.3,10,1,0,11,99.5
16,39.8,-600,11,1,0.8,11,99.5
17,39.8,-160.6,11,1,0,11,99.5
18,39.8,-600,12,1,0.8,11,99.5
19,39.8,-158.2,12,1,0,11,99.5
20,39.8,-600,13,1,0.8,11,99.5
21,39.8,-157.3,13,1,0,11,99.5
22,39.8,-600,14,1,0.8,11,99.5
23,39.8,-156.8,14,1,0,11,99.5
24,39.8,-600,15,1,0.8,11,99.5
25,39.8,-155.4,15,1,0,11,99.5
26,39.8,-600,16,1,0.8,11,99.5
27,39.8,-154.5,16,1,0,11,99.5
28,39.8,-600,17,1,0.8,11,99.5
29,39.8,-155.1,17,1,0,11,99.5
30,39.8,-600,18,1,0.8,11,99.5
31,39.8,-156.8,18,1,0,11,99.5
32,39.8,-600,19,1,0.8,11,99.5
33,39.8,-158.9,19,1,0,11,99.5
34,39.8,-600,20,1,0.8,11,99.5
35,39.8,-160,20,1,0,11,99.5
36,39.8,-600,21,1,0.8,11,99.5
37,39.8,-161.4,21,1,0,11,99.5
38,39.8,-600,22,1,0.8,11,99.5
39,39.8,-161.9,22,1,0,11,99.5
40,39.8,-150,23,1,0.8,11,99.5
41,39.8,-450,23,1,0,11,99.5
42,39.8,-162.5,23,1,0,11,99.5
43,39.8,-150,24,1,0.8,11,99.5
44,39.8,-450,24,1,0,11,99.5
45,39.8,-163,24,1,0,11,99.5
46,20.06,-350,1,2,0.8,11,50.15
47,20.06,-95,1,2,0,11,50.15
48,20.06,-15,1,2,0,11,50.15
49,20.4,-20,1,2,0,11,50.15
50,20.8,-20,1,2,0,11,50.15
51,21.2,-20,1,2,0,11,50.15
52,22,-20,1,2,0,11,50.15
53,22.8,-20,1,2,0,11,50.15
54,72.12,-225.2,1,2,0,11,50.15
55,20.06,-10,2,2,0.8,11,50.15
56,20.06,-435,2,2,0,11,50.15
57,20.06,-15,2,2,0,11,50.15
58,20.4,-20,2,2,0,11,50.15
59,20.8,-20,2,2,0,11,50.15
60,21.2,-20,2,2,0,11,50.15
61,22,-20,2,2,0,11,50.15
62,22.8,-20,2,2,0,11,50.15
63,72.12,-225.2,2,2,0,11,50.15
64,20.06,-445,3,2,0.8,11,50.15
65,20.06,-15,3,2,0,11,50.15
66,24,-10,3,2,0,11,50.15
67,26,-10,3,2,0,11,50.15
68,27.2,-20,3,2,0,11,50.15
69,28,-20,3,2,0,11,50.15
70,28.8,-20,3,2,0,11,50.15
71,30,-20,3,2,0,11,50.15
72,72.12,-225.2,3,2,0,11,50.15
73,20.06,-445,4,2,0.8,11,50.15
74,20.06,-15,4,2,0,11,50.15
75,24,-10,4,2,0,11,50.15
76,26,-10,4,2,0,11,50.15
77,27.2,-20,4,2,0,11,50.15
78,28,-20,4,2,0,11,50.15
79,28.8,-20,4,2,0,11,50.15
80,30,-20,4,2,0,11,50.15
81,72.12,-225.2,4,2,0,11,50.15
82,20.06,-445,5,2,0.8,11,50.15
83,20.06,-15,5,2,0,11,50.15
84,24,-10,5,2,0,11,50.15
85,26,-10,5,2,0,11,50.15
86,27.2,-20,5,2,0,11,50.15
87,28,-20,5,2,0,11,50.15
88,28.8,-20,5,2,0,11,50.15
89,30,-20,5,2,0,11,50.15
90,72.12,-225.2,5,2,0,11,50.15
91,20.06,-445,6,2,0.8,11,50.15
92,20.06,-15,6,2,0,11,50.15
93,24,-10,6,2,0,11,50.15
94,26,-10,6,2,0,11,50.15
95,27.2,-20,6,2,0,11,50.15
96,28,-20,6,2,0,11,50.15
97,28.8,-20,6,2,0,11,50.15
98,30,-20,6,2,0,11,50.15
99,72.12,-225.2,6,2,0,11,50.15
100,20.06,-445,7,2,0.8,11,50.15
101,20.06,-15,7,2,0,11,50.15
102,24,-10,7,2,0,11,50.15
103,26,-10,7,2,0,11,50.15
104,27.2,-20,7,2,0,11,50.15
105,28,-20,7,2,0,11,50.15
106,28.8,-20,7,2,0,11,50.15
107,30,-20,7,2,0,11,50.15
108,72.12,-225.2,7,2,0,11,50.15
109,20.06,-445,8,2,0.8,11,50.15
110,20.06,-15,8,2,0,11,50.15
111,24,-10,8,2,0,11,50.15
112,26,-10,8,2,0,11,50.15
113,27.2,-20,8,2,0,11,50.15
114,28,-20,8,2,0,11,50.15
115,28.8,-20,8,2,0,11,50.15
116,30,-20,8,2,0,11,50.15
117,72.12,-225.2,8,2,0,11,50.15
118,20.06,-445,9,2,0.8,11,50.15
119,20.06,-15,9,2,0,11,50.15
120,20.4,-20,9,2,0,11,50.15
121,20.6,-40,9,2,0,11,50.15
122,20.8,-40,9,2,0,11,50.15
123,21,-40,9,2,0,11,50.15
124,21.6,-50,9,2,0,11,50.15
125,22,-50,9,2,0,11,50.15
126,72.12,-85.2,9,2,0,11,50.15
127,20.06,-445,10,2,0.8,11,50.15
128,20.06,-15,10,2,0,11,50.15
129,20.4,-20,10,2,0,11,50.15
130,20.6,-40,10,2,0,11,50.15
131,20.8,-40,10,2,0,11,50.15
132,21,-40,10,2,0,11,50.15
133,21.6,-50,10,2,0,11,50.15
