"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,21710.5,11,1
2,180,180,500.4,11,1
3,150,150,10.1,11,1
4,140,140,15.6,11,1
5,139.83,139.83,73.2,11,1
6,130,130,5.3,11,1
7,120,120,70.8,11,1
8,110,110,177.7,11,1
9,105,105,0.3,11,1
10,100,100,164.2,11,1
11,96,96,1128.6,11,1
12,94.61,94.61,9,11,1
13,90,90,148.1,11,1
14,89.99,89.99,200,11,1
15,85,85,2.4,11,1
16,84.98,84.98,300,11,1
17,84.72,84.72,0.1,11,1
18,81,81,33.3,11,1
19,80,80,342.8,11,1
20,75,75,75.2,11,1
21,72.9,72.9,33.3,11,1
22,70,70,9.1,11,1
23,65.61,65.61,33.3,11,1
24,65,65,28.2,11,1
25,60.69,60.69,79,11,1
26,60,60,0.1,11,1
27,55.69,55.69,39,11,1
28,55.1,55.1,1.9,11,1
29,52.06,52.06,0.1,11,1
30,50,50,0.2,11,1
31,45.5,45.5,5.3,11,1
32,45,45,10,11,1
33,44,44,13.4,11,1
34,43.4,43.4,20,11,1
35,42.49,42.49,18.6,11,1
36,40.4,40.4,20,11,1
37,40,40,82.7,11,1
38,38.4,38.4,10,11,1
39,37,37,38,11,1
40,35.5,35.5,5.3,11,1
41,35,35,39.5,11,1
42,33.38,33.38,95,11,1
43,33,33,50,11,1
44,30,30,147.2,11,1
45,29,29,0.3,11,1
46,26,26,50,11,1
47,25.5,25.5,3.5,11,1
48,25,25,44.9,11,1
49,23.91,23.91,57,11,1
50,22,22,3.8,11,1
51,20,20,76.8,11,1
52,17,17,1.3,11,1
53,15,15,52.9,11,1
54,10,10,16.9,11,1
55,5.1,5.1,570,11,1
56,5,5,8,11,1
57,3.28,3.28,33.3,11,1
58,3,3,3.4,11,1
59,2,2,10,11,1
60,1,1,26.5,11,1
61,0.5,0.5,101,11,1
62,0.2,0.2,4.6,11,1
63,0.1,0.1,58.3,11,1
64,0.01,0.01,52,11,1
65,0,0,9640.2,11,1
66,180.3,180.3,18626.9,11,2
67,180,180,519.6,11,2
68,150,150,9.4,11,2
69,140,140,12.7,11,2
70,139.83,139.83,6.5,11,2
71,130,130,5.2,11,2
72,120,120,62.7,11,2
73,110,110,176.7,11,2
74,100,100,148.5,11,2
75,97,97,0.3,11,2
76,90,90,126.4,11,2
77,89.99,89.99,200,11,2
