"I","PI0","PI1","QI","LI","TI"
1,0,0,-12695.7,11,9
2,0.1,0.1,-1,11,9
3,0.5,0.5,-192,11,9
4,0.6,0.6,-85.1,11,9
5,0.7,0.7,-77.3,11,9
6,1,1,-43.8,11,9
7,1.5,1.5,-0.1,11,9
8,2,2,-54.4,11,9
9,2.5,2.5,-68.5,11,9
10,3,3,-40.9,11,9
11,4.5,4.5,-16.7,11,9
12,5,5,-340.9,11,9
13,6,6,-23.9,11,9
14,6.03,6.03,-12,11,9
15,7,7,-70.5,11,9
16,8.25,8.25,-10.2,11,9
17,11,11,-138.7,11,9
18,13,13,-1.1,11,9
19,15,15,-1.7,11,9
20,15.5,15.5,-27,11,9
21,16,16,-27.5,11,9
22,18.01,18.01,-20,11,9
23,19,19,-31.9,11,9
24,20,20,-173.5,11,9
25,20.03,20.03,-45,11,9
26,22.01,22.01,-40,11,9
27,24,24,-4.8,11,9
28,26,26,-4.9,11,9
29,26.8,26.8,-6.8,11,9
30,30,30,-178.5,11,9
31,30.02,30.02,-30,11,9
32,30.03,30.03,-11,11,9
33,32.51,32.51,-100,11,9
34,33,33,-8,11,9
35,33.03,33.03,-7,11,9
36,35,35,-26,11,9
37,35.02,35.02,-100,11,9
38,37.53,37.53,-100,11,9
39,38.03,38.03,-19,11,9
40,40,40,-136.5,11,9
41,40.1,40.1,-140.1,11,9
42,40.18,40.18,-90,11,9
43,42.39,42.39,-90,11,9
44,42.5,42.5,-0.1,11,9
45,43,43,-80,11,9
46,44.03,44.03,-50,11,9
47,44.13,44.13,-50,11,9
48,44.23,44.23,-50,11,9
49,44.33,44.33,-50,11,9
50,44.6,44.6,-90,11,9
51,45.03,45.03,-19,11,9
52,46.71,46.71,-50,11,9
53,46.8,46.8,-90,11,9
54,46.81,46.81,-50,11,9
55,46.91,46.91,-50,11,9
56,47.01,47.01,-50,11,9
57,47.5,47.5,-0.1,11,9
58,48.3,48.3,-290.7,11,9
59,49,49,-62,11,9
60,49.2,49.2,-100,11,9
61,50,50,-123.5,11,9
62,50.02,50.02,-20,11,9
63,50.1,50.1,-290.7,11,9
64,50.13,50.13,-45,11,9
65,50.5,50.5,-0.1,11,9
66,51.64,51.64,-100,11,9
67,52.35,52.35,-50,11,9
68,52.45,52.45,-50,11,9
69,52.55,52.55,-50,11,9
70,52.65,52.65,-50,11,9
71,53.31,53.31,-68.9,11,9
72,54,54,-84.5,11,9
73,55.01,55.01,-68.9,11,9
74,55.03,55.03,-12,11,9
75,58.48,58.48,-290.7,11,9
76,60,60,-4.9,11,9
77,60.13,60.13,-45,11,9
78,60.8,60.8,-290.7,11,9
79,65.5,65.5,-10,11,9
80,70,70,-9.5,11,9
81,70.04,70.04,-24,11,9
82,73.34,73.34,-9.5,11,9
83,73.38,73.38,-24,11,9
84,73.5,73.5,-35,11,9
85,75,75,-49.1,11,9
86,75.13,75.13,-45,11,9
87,76.69,76.69,-9.5,11,9
88,76.73,76.73,-24,11,9
89,77.4,77.4,-10,11,9
90,79,79,-17,11,9
91,79.5,79.5,-10,11,9
92,80.03,80.03,-9.5,11,9
93,80.07,80.07,-24,11,9
94,83.7,83.7,-74.4,11,9
