"MP","LC","FC","VC","RU","RD"
613,11,6000,136.78,NA,NA
614,11,0,63.1,NA,NA
615,11,0,60.5,NA,NA
616,11,19052,62.95,NA,NA
617,11,38134,77.15,NA,NA
618,11,86000,54.33,NA,NA
619,11,6000,99,NA,NA
620,11,6000,130.12,NA,NA
621,11,6000,131.41,NA,NA
622,11,6000,102.39,NA,NA
623,11,6000,139.25,NA,NA
624,11,6000,116.8,NA,NA
625,11,6000,96.66,NA,NA
626,11,6000,138.75,NA,NA
627,11,6000,122.23,NA,NA
628,11,25900,49,NA,NA
629,11,0,99.7,NA,NA
630,11,0,115,NA,NA
631,11,0,98.7,NA,NA
632,11,0,73.45,NA,NA
633,11,103742,67.6,NA,NA
634,11,0,77.46,NA,NA
635,11,0,61.18,NA,NA
636,11,0,60.53,NA,NA
637,11,0,95,NA,NA
638,11,0,80.97,NA,NA
639,11,97958,52.21,NA,NA
640,11,65061,96.61,NA,NA
641,11,65882,64.25,NA,NA
642,11,107735,93.43,NA,NA
643,11,0,75.53,NA,NA
644,11,0,76.07,NA,NA
645,11,0,77.55,NA,NA
646,11,0,90,NA,NA
647,11,105742,55.64,NA,NA
648,11,150348,85.14,NA,NA
649,11,0,75.96,NA,NA
650,11,0,95,NA,NA
651,11,0,71.53,NA,NA
652,11,0,71.5,NA,NA
653,11,0,82.25,NA,NA
654,11,24000,45.5,120,120
655,11,40000,43,120,180
656,11,50000,45.5,120,120
657,11,0,44.02,NA,NA
658,11,17000,74,150,150
659,11,17000,77,150,150
660,11,33000,89,150,150
661,11,0,66.13,NA,NA
662,11,50770,98.59,NA,NA
663,11,53878,96.01,NA,NA
664,11,61156,94.83,NA,NA
665,11,1211444,106.92,NA,NA
666,11,0,47,NA,NA
667,11,79754,49.25,NA,NA
668,11,82769,44,NA,NA
669,11,0,45,NA,NA
670,11,70000,42,NA,NA
671,11,0,41.5,NA,NA
672,11,0,41.26,NA,NA
673,11,45001,62.36,NA,NA
674,11,45001,62.36,NA,NA
675,11,26715,99,NA,NA
676,11,57530,99,NA,NA
677,11,71573,74.08,NA,NA
678,11,71573,74.08,NA,NA
679,11,0,81.86,NA,NA
680,11,43183,82.38,NA,NA
681,11,45171,84.27,NA,NA
682,11,60161,81.62,NA,NA
683,11,40942,83.78,NA,NA
684,11,28040,100.16,NA,NA
685,12,0,29.2,NA,NA
686,12,0,29.3,NA,NA
687,12,0,29.4,NA,NA
688,12,0,29.5,NA,NA
689,12,150000,76,NA,NA
690,12,150000,76.5,NA,NA
691,12,20000,73.1,NA,NA
692,12,20000,71.65,NA,NA
693,12,50000,73.5,NA,NA
694,12,56866,99,NA,NA
695,12,56866,99,NA,NA
696,12,80000,20,60,132
697,12,80000,22,60,132
698,12,140000,180,42,150
699,12,50000,53,78,150
700,12,50000,32,108,150
