"H","PH","QH","TH","MP","AR","LH","VH"
1,60.608,-318,1,613,0.8,11,136.78
2,60.608,-318,2,613,0.8,11,136.78
3,54.712,-50,3,613,0.8,11,136.78
4,60.608,-268,3,613,0,11,136.78
5,54.712,-100,4,613,0.8,11,136.78
6,60.608,-218,4,613,0,11,136.78
7,54.712,-150,5,613,0.8,11,136.78
8,60.608,-168,5,613,0,11,136.78
9,54.712,-225,6,613,0.8,11,136.78
10,54.912,-50,6,613,0,11,136.78
11,55.392,-43,6,613,0,11,136.78
12,54.712,-225,7,613,0.8,11,136.78
13,54.912,-50,7,613,0,11,136.78
14,55.392,-43,7,613,0,11,136.78
15,54.712,-225,8,613,0.8,11,136.78
16,54.912,-50,8,613,0,11,136.78
17,55.392,-43,8,613,0,11,136.78
18,54.712,-225,9,613,0.8,11,136.78
19,54.912,-50,9,613,0,11,136.78
20,55.392,-43,9,613,0,11,136.78
21,54.712,-225,10,613,0.8,11,136.78
22,54.912,-50,10,613,0,11,136.78
23,55.392,-43,10,613,0,11,136.78
24,54.712,-225,11,613,0.8,11,136.78
25,54.912,-50,11,613,0,11,136.78
26,55.392,-43,11,613,0,11,136.78
27,54.712,-225,12,613,0.8,11,136.78
28,54.912,-50,12,613,0,11,136.78
29,55.392,-43,12,613,0,11,136.78
30,54.712,-225,13,613,0.8,11,136.78
31,54.912,-50,13,613,0,11,136.78
32,55.392,-43,13,613,0,11,136.78
33,54.712,-225,14,613,0.8,11,136.78
34,54.912,-50,14,613,0,11,136.78
35,55.392,-43,14,613,0,11,136.78
36,54.712,-225,15,613,0.8,11,136.78
37,54.912,-50,15,613,0,11,136.78
38,55.392,-43,15,613,0,11,136.78
39,54.712,-225,16,613,0.8,11,136.78
40,54.912,-50,16,613,0,11,136.78
41,55.392,-43,16,613,0,11,136.78
42,54.712,-225,17,613,0.8,11,136.78
43,54.912,-50,17,613,0,11,136.78
44,55.392,-43,17,613,0,11,136.78
45,54.712,-225,18,613,0.8,11,136.78
46,54.912,-50,18,613,0,11,136.78
47,55.392,-43,18,613,0,11,136.78
48,54.712,-225,19,613,0.8,11,136.78
49,54.912,-50,19,613,0,11,136.78
50,55.392,-43,19,613,0,11,136.78
51,54.712,-225,20,613,0.8,11,136.78
52,54.912,-50,20,613,0,11,136.78
53,55.392,-43,20,613,0,11,136.78
54,54.712,-225,21,613,0.8,11,136.78
55,54.912,-50,21,613,0,11,136.78
56,55.392,-43,21,613,0,11,136.78
57,54.712,-225,22,613,0.8,11,136.78
58,54.912,-50,22,613,0,11,136.78
59,55.392,-43,22,613,0,11,136.78
