"H","PH","QH","TH","MP","AR","LH","VH"
1,72.12,-402.2,1,1,0.8,11,65
2,72.12,-402.2,2,1,0.8,11,65
3,72.12,-402.2,3,1,0.8,11,65
4,72.12,-402.2,4,1,0.8,11,65
5,72.12,-402.2,5,1,0.8,11,65
6,72.12,-402.2,6,1,0.8,11,65
7,72.12,-402.2,7,1,0.8,11,65
8,72.12,-402.2,8,1,0.8,11,65
9,72.12,-402.2,9,1,0.8,11,65
10,72.12,-402.2,10,1,0.8,11,65
11,72.12,-402.2,11,1,0.8,11,65
12,72.12,-402.2,12,1,0.8,11,65
13,26,-80,13,1,0.8,11,65
14,72.12,-322.2,13,1,0,11,65
15,26,-120,14,1,0.8,11,65
16,72.12,-282.2,14,1,0,11,65
17,26,-120,15,1,0.8,11,65
18,72.12,-282.2,15,1,0,11,65
19,26,-120,16,1,0.8,11,65
20,72.12,-282.2,16,1,0,11,65
21,26,-120,17,1,0.8,11,65
22,72.12,-282.2,17,1,0,11,65
23,26,-135,18,1,0.8,11,65
24,72.12,-267.2,18,1,0,11,65
25,26,-275,19,1,0.8,11,65
26,72.12,-127.2,19,1,0,11,65
27,26,-387.9,20,1,0.8,11,65
28,72.12,-14.3,20,1,0,11,65
29,26,-388.7,21,1,0.8,11,65
30,72.12,-13.5,21,1,0,11,65
31,26,-389.7,22,1,0.8,11,65
32,72.12,-12.5,22,1,0,11,65
33,26,-390.1,23,1,0.8,11,65
34,72.12,-12.1,23,1,0,11,65
35,26,-391.1,24,1,0.8,11,65
36,72.12,-11.1,24,1,0,11,65
37,72.12,-397,1,2,0.8,11,63.8
38,72.12,-397,2,2,0.8,11,63.8
39,72.12,-397,3,2,0.8,11,63.8
40,72.12,-397,4,2,0.8,11,63.8
41,72.12,-397,5,2,0.8,11,63.8
42,72.12,-397,6,2,0.8,11,63.8
43,72.12,-397,7,2,0.8,11,63.8
44,72.12,-397,8,2,0.8,11,63.8
45,72.12,-397,9,2,0.8,11,63.8
46,72.12,-397,10,2,0.8,11,63.8
47,72.12,-397,11,2,0.8,11,63.8
48,72.12,-397,12,2,0.8,11,63.8
49,25.52,-80,13,2,0.8,11,63.8
50,72.12,-317,13,2,0,11,63.8
51,25.52,-120,14,2,0.8,11,63.8
52,72.12,-277,14,2,0,11,63.8
53,25.52,-120,15,2,0.8,11,63.8
54,72.12,-277,15,2,0,11,63.8
55,25.52,-120,16,2,0.8,11,63.8
56,72.12,-277,16,2,0,11,63.8
57,25.52,-120,17,2,0.8,11,63.8
58,72.12,-277,17,2,0,11,63.8
59,25.52,-160,18,2,0.8,11,63.8
60,72.12,-237,18,2,0,11,63.8
61,25.52,-330,19,2,0.8,11,63.8
62,72.12,-67,19,2,0,11,63.8
63,25.52,-386.9,20,2,0.8,11,63.8
64,72.12,-10.1,20,2,0,11,63.8
65,25.52,-387.6,21,2,0.8,11,63.8
66,72.12,-9.4,21,2,0,11,63.8
67,25.52,-388.7,22,2,0.8,11,63.8
68,72.12,-8.3,22,2,0,11,63.8
69,25.52,-389.1,23,2,0.8,11,63.8
70,72.12,-7.9,23,2,0,11,63.8
71,25.52,-390.1,24,2,0.8,11,63.8
72,72.12,-6.9,24,2,0,11,63.8
73,72.12,-797.8,1,3,0.8,11,94
74,72.12,-797.8,2,3,0.8,11,94
75,72.12,-797.8,3,3,0.8,11,94
76,72.12,-797.8,4,3,0.8,11,94
77,72.12,-797.8,5,3,0.8,11,94
78,72.12,-797.8,6,3,0.8,11,94
79,37.6,-40,7,3,0.8,11,94
80,52,-757.8,7,3,0,11,94
