"H","PH","QH","TH","MP","AR","LH","VH"
1,19.936,-175,1,1,0.8,11,49.84
2,19.936,-45,1,1,0,11,49.84
3,19.936,-5,1,1,0,11,49.84
4,20.4,-10,1,1,0,11,49.84
5,20.6,-10,1,1,0,11,49.84
6,21,-10,1,1,0,11,49.84
7,21.6,-15,1,1,0,11,49.84
8,22,-15,1,1,0,11,49.84
9,72.12,-500.2,1,1,0,11,49.84
10,19.936,-220,2,1,0.8,11,49.84
11,19.936,-5,2,1,0,11,49.84
12,20.4,-10,2,1,0,11,49.84
13,20.6,-10,2,1,0,11,49.84
14,20.8,-10,2,1,0,11,49.84
15,21,-10,2,1,0,11,49.84
16,21.6,-10,2,1,0,11,49.84
17,22,-10,2,1,0,11,49.84
18,72.12,-500.2,2,1,0,11,49.84
19,19.936,-220,3,1,0.8,11,49.84
20,19.936,-5,3,1,0,11,49.84
21,20.4,-10,3,1,0,11,49.84
22,20.6,-10,3,1,0,11,49.84
23,20.8,-10,3,1,0,11,49.84
24,21,-10,3,1,0,11,49.84
25,21.6,-10,3,1,0,11,49.84
26,22,-10,3,1,0,11,49.84
27,72.12,-500.2,3,1,0,11,49.84
28,19.936,-220,4,1,0.8,11,49.84
29,19.936,-5,4,1,0,11,49.84
30,20.4,-10,4,1,0,11,49.84
31,20.6,-10,4,1,0,11,49.84
32,20.8,-10,4,1,0,11,49.84
33,21,-10,4,1,0,11,49.84
34,21.6,-10,4,1,0,11,49.84
35,22,-10,4,1,0,11,49.84
36,72.12,-500.2,4,1,0,11,49.84
37,19.936,-220,5,1,0.8,11,49.84
38,19.936,-5,5,1,0,11,49.84
39,20.4,-10,5,1,0,11,49.84
40,20.6,-10,5,1,0,11,49.84
41,20.8,-10,5,1,0,11,49.84
42,21,-10,5,1,0,11,49.84
43,21.6,-10,5,1,0,11,49.84
44,22,-10,5,1,0,11,49.84
45,72.12,-500.2,5,1,0,11,49.84
46,19.936,-220,6,1,0.8,11,49.84
47,19.936,-5,6,1,0,11,49.84
48,20.4,-10,6,1,0,11,49.84
49,20.6,-10,6,1,0,11,49.84
50,20.8,-10,6,1,0,11,49.84
51,21,-10,6,1,0,11,49.84
52,21.6,-10,6,1,0,11,49.84
53,22,-10,6,1,0,11,49.84
54,72.12,-500.2,6,1,0,11,49.84
55,19.936,-220,7,1,0.8,11,49.84
56,72.12,-565.2,7,1,0,11,49.84
