"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,19396.1,11,3
2,180,180,8.3,11,3
3,150,150,8.7,11,3
4,140,140,11.3,11,3
5,120,120,50.7,11,3
6,110.79,110.79,61.2,11,3
7,110,110,306.7,11,3
8,103.68,103.68,75.9,11,3
9,100,100,69,11,3
10,95,95,0.5,11,3
11,93,93,0.1,11,3
12,90,90,519.4,11,3
13,89.99,89.99,200,11,3
14,85,85,1162.9,11,3
15,84.98,84.98,300,11,3
16,80,80,307,11,3
17,75,75,63.7,11,3
18,73.86,73.86,7.6,11,3
19,70,70,5.2,11,3
20,63.07,63.07,0.1,11,3
21,52.06,52.06,0.1,11,3
22,50.5,50.5,4.3,11,3
23,50,50,4,11,3
24,47,47,9.7,11,3
25,45.5,45.5,4.2,11,3
26,45,45,39.6,11,3
27,43.4,43.4,20,11,3
28,40.5,40.5,2.1,11,3
29,40.4,40.4,20,11,3
30,40,40,50.9,11,3
31,38.4,38.4,10,11,3
32,38,38,100,11,3
33,35,35,29.7,11,3
34,31.54,31.54,21.9,11,3
35,30,30,131.8,11,3
36,26.1,26.1,80,11,3
37,25,25,102.6,11,3
38,23.79,23.79,150,11,3
39,20,20,75.3,11,3
40,19.31,19.31,52,11,3
41,12.74,12.74,0.9,11,3
42,10,10,95.3,11,3
43,5,5,158,11,3
44,3,3,194.1,11,3
45,2,2,290,11,3
46,1,1,281.9,11,3
47,0.9,0.9,68.4,11,3
48,0.5,0.5,75.2,11,3
49,0.4,0.4,73,11,3
50,0.3,0.3,100,11,3
51,0.2,0.2,112,11,3
52,0.1,0.1,197.6,11,3
53,0,0,798.3,11,3
54,180.3,180.3,17561.2,11,4
55,180,180,7.9,11,4
56,150,150,8.3,11,4
57,140,140,10.1,11,4
58,120,120,47.2,11,4
59,110.79,110.79,61.2,11,4
60,110,110,300.6,11,4
61,103.68,103.68,75.4,11,4
62,100,100,65.4,11,4
63,95,95,0.6,11,4
64,93,93,0.1,11,4
65,90,90,511.7,11,4
66,89.99,89.99,200,11,4
67,84.98,84.98,300,11,4
68,80.78,80.78,1167.2,11,4
69,80,80,307,11,4
70,75,75,61.9,11,4
71,71.97,71.97,7.4,11,4
72,70,70,4.9,11,4
73,57.63,57.63,0.1,11,4
74,52.06,52.06,0.1,11,4
75,50.5,50.5,4.1,11,4
76,50,50,3.9,11,4
77,47,47,9.3,11,4
78,45.5,45.5,4.1,11,4
79,43.4,43.4,20,11,4
80,40.5,40.5,2,11,4
81,40.4,40.4,20,11,4
82,40,40,20.2,11,4
83,38.4,38.4,10,11,4
84,38,38,42.8,11,4
85,33,33,32.1,11,4
86,32,32,100,11,4
87,31.39,31.39,11.9,11,4
88,30,30,101.8,11,4
89,28,28,32.1,11,4
90,26.9,26.9,80,11,4
91,25,25,72.6,11,4
92,23,23,32.1,11,4
93,20,20,35.6,11,4
94,19.31,19.31,52,11,4
95,18,18,32.1,11,4
96,16.38,16.38,150,11,4
97,13,13,42.8,11,4
98,11.94,11.94,0.8,11,4
99,10,10,95,11,4
100,9,9,0.3,11,4
101,5,5,158,11,4
102,3,3,194.2,11,4
103,2,2,290,11,4
104,1,1,283.5,11,4
105,0.9,0.9,66.3,11,4
106,0.5,0.5,75.4,11,4
107,0.4,0.4,73,11,4
108,0.3,0.3,100,11,4
109,0.2,0.2,113,11,4
110,0.1,0.1,197.8,11,4
111,0,0,798.3,11,4
112,180.3,180.3,17123.9,11,5
113,180,180,7.8,11,5
114,150,150,8.1,11,5
115,140,140,9.2,11,5
116,120,120,45.4,11,5
117,110.79,110.79,61.2,11,5
118,110,110,297.3,11,5
119,103.68,103.68,75.7,11,5
120,100,100,63,11,5
121,95,95,0.5,11,5
122,93,93,0.1,11,5
123,90,90,529.7,11,5
124,89.99,89.99,200,11,5
125,84.98,84.98,300,11,5
126,80.78,80.78,1138.9,11,5
127,80,80,309,11,5
128,75,75,61.1,11,5
129,70.68,70.68,7.4,11,5
130,70,70,4.8,11,5
131,56.1,56.1,0.1,11,5
132,52.06,52.06,0.1,11,5
133,50,50,3.9,11,5
134,47.5,47.5,4.1,11,5
135,47,47,9.1,11,5
136,45.5,45.5,4.1,11,5
137,43.4,43.4,20,11,5
138,40.4,40.4,20,11,5
139,40,40,20.6,11,5
140,38.5,38.5,2,11,5
141,38.4,38.4,10,11,5
142,38,38,40.9,11,5
143,33,33,30.7,11,5
144,31.58,31.58,10.9,11,5
145,30,30,151.5,11,5
146,28,28,30.7,11,5
147,27.3,27.3,80,11,5
148,26,26,50,11,5
149,25,25,72.5,11,5
150,23,23,30.7,11,5
151,20,20,35.6,11,5
152,19.31,19.31,52,11,5
153,18,18,30.7,11,5
154,15.87,15.87,150,11,5
155,13,13,40.9,11,5
156,11.38,11.38,0.8,11,5
157,10,10,94.8,11,5
158,5,5,158.3,11,5
159,3,3,194.2,11,5
160,2,2,290,11,5
161,1,1,282.5,11,5
