"H","PH","QH","TH","MP","AR","LH","VH"
1,19.96,-175,1,1,0.8,11,49.9
2,19.96,-45,1,1,0,11,49.9
3,19.96,-5,1,1,0,11,49.9
4,20.4,-10,1,1,0,11,49.9
5,20.6,-10,1,1,0,11,49.9
6,21,-10,1,1,0,11,49.9
7,21.6,-15,1,1,0,11,49.9
8,22,-15,1,1,0,11,49.9
9,72.12,-500.2,1,1,0,11,49.9
10,19.96,-220,2,1,0.8,11,49.9
11,19.96,-5,2,1,0,11,49.9
12,20.4,-10,2,1,0,11,49.9
13,20.6,-10,2,1,0,11,49.9
14,20.8,-10,2,1,0,11,49.9
15,21,-10,2,1,0,11,49.9
16,21.6,-10,2,1,0,11,49.9
17,22,-10,2,1,0,11,49.9
18,72.12,-500.2,2,1,0,11,49.9
19,19.96,-220,3,1,0.8,11,49.9
20,19.96,-5,3,1,0,11,49.9
21,20.4,-10,3,1,0,11,49.9
22,20.6,-10,3,1,0,11,49.9
23,20.8,-10,3,1,0,11,49.9
24,21,-10,3,1,0,11,49.9
25,21.6,-10,3,1,0,11,49.9
26,22,-10,3,1,0,11,49.9
27,72.12,-500.2,3,1,0,11,49.9
28,19.96,-220,4,1,0.8,11,49.9
29,19.96,-5,4,1,0,11,49.9
30,20.4,-10,4,1,0,11,49.9
31,20.6,-10,4,1,0,11,49.9
32,20.8,-10,4,1,0,11,49.9
33,21,-10,4,1,0,11,49.9
34,21.6,-10,4,1,0,11,49.9
35,22,-10,4,1,0,11,49.9
36,72.12,-500.2,4,1,0,11,49.9
37,19.96,-220,5,1,0.8,11,49.9
38,72.12,-565.2,5,1,0,11,49.9
39,19.96,-210,6,1,0.8,11,49.9
40,72.12,-575.2,6,1,0,11,49.9
41,19.96,-240,7,1,0.8,11,49.9
42,72.12,-545.2,7,1,0,11,49.9
43,19.96,-385,8,1,0.8,11,49.9
44,72.12,-400.2,8,1,0,11,49.9
45,19.96,-445,9,1,0.8,11,49.9
46,19.96,-15,9,1,0,11,49.9
47,20.4,-20,9,1,0,11,49.9
48,20.6,-40,9,1,0,11,49.9
49,20.8,-40,9,1,0,11,49.9
50,21,-40,9,1,0,11,49.9
51,21.6,-50,9,1,0,11,49.9
52,22,-50,9,1,0,11,49.9
53,72.12,-85.2,9,1,0,11,49.9
54,19.96,-445,10,1,0.8,11,49.9
55,19.96,-15,10,1,0,11,49.9
56,20.4,-20,10,1,0,11,49.9
57,20.6,-40,10,1,0,11,49.9
58,20.8,-40,10,1,0,11,49.9
59,21,-40,10,1,0,11,49.9
60,21.6,-50,10,1,0,11,49.9
61,22,-50,10,1,0,11,49.9
