"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,7026.5,12,19
2,110,110,1.6,12,19
3,108,108,9.6,12,19
4,9.93,9.93,13.5,12,19
5,7,7,13.5,12,19
6,180.3,180.3,7483.1,12,20
7,117.15,117.15,10.2,12,20
8,110,110,1.6,12,20
9,16.94,16.94,7,12,20
10,11.94,11.94,7,12,20
11,180.3,180.3,7814.4,12,21
12,134.98,134.98,9.7,12,21
13,110,110,1.6,12,21
14,20.02,20.02,2.5,12,21
15,15.02,15.02,2.5,12,21
16,180.3,180.3,7660.5,12,22
17,130,130,9.6,12,22
18,110,110,1.5,12,22
19,22.03,22.03,5.5,12,22
20,17.03,17.03,5.5,12,22
21,0.01,0.01,0.1,12,22
22,180.3,180.3,7410.3,12,23
23,117.84,117.84,9.7,12,23
24,110,110,1.4,12,23
25,17.35,17.35,13,12,23
26,12.35,12.35,13,12,23
27,180.3,180.3,7034.4,12,24
28,110,110,1.3,12,24
29,98.19,98.19,111.9,12,24
30,9,9,1.5,12,24
31,7,7,1.5,12,24
32,0,0,-5100.3,12,1
33,0.1,0.1,-90,12,1
34,0.12,0.12,-90,12,1
35,0.14,0.14,-30,12,1
36,0.16,0.16,-30,12,1
37,0.2,0.2,-280,12,1
38,3,3,-560,12,1
39,3.1,3.1,-120,12,1
40,3.3,3.3,-110,12,1
41,3.69,3.69,-120,12,1
42,4.4,4.4,-10,12,1
43,5,5,-30,12,1
44,8,8,-30,12,1
45,25.1,25.1,-67,12,1
46,30.1,30.1,-67,12,1
47,35.1,35.1,-67,12,1
48,40.1,40.1,-67,12,1
49,45.1,45.1,-67,12,1
50,50.1,50.1,-65,12,1
51,125.56,125.56,-10,12,1
52,130.07,130.07,-387,12,1
53,130.97,130.97,-12,12,1
54,131.69,131.69,-12,12,1
55,160,160,-81,12,1
56,180.01,180.01,-113.8,12,1
57,180.3,180.3,-65,12,1
58,0,0,-5220,12,2
59,0.1,0.1,-90,12,2
60,0.12,0.12,-90,12,2
61,0.14,0.14,-30,12,2
62,0.16,0.16,-30,12,2
63,0.2,0.2,-280,12,2
64,3,3,-560,12,2
65,3.1,3.1,-120,12,2
66,3.3,3.3,-110,12,2
67,3.69,3.69,-120,12,2
68,4.4,4.4,-10,12,2
69,5,5,-30,12,2
70,8,8,-30,12,2
71,25.1,25.1,-67,12,2
72,30.1,30.1,-67,12,2
73,35.1,35.1,-67,12,2
74,40.1,40.1,-67,12,2
75,45.1,45.1,-67,12,2
76,50.1,50.1,-65,12,2
77,125.56,125.56,-10,12,2
78,130.07,130.07,-387,12,2
79,130.97,130.97,-12,12,2
80,131.69,131.69,-12,12,2
81,160,160,-81,12,2
82,180.01,180.01,-113.8,12,2
83,180.3,180.3,-65,12,2
84,0,0,-5454.4,12,3
85,0.1,0.1,-90,12,3
86,0.12,0.12,-90,12,3
87,0.14,0.14,-30,12,3
88,0.16,0.16,-30,12,3
89,0.2,0.2,-280,12,3
90,3,3,-560,12,3
91,3.1,3.1,-120,12,3
92,3.3,3.3,-110,12,3
93,3.69,3.69,-120,12,3
94,4.4,4.4,-10,12,3
95,5,5,-30,12,3
96,8,8,-30,12,3
97,25.1,25.1,-67,12,3
98,30.1,30.1,-67,12,3
99,35.1,35.1,-67,12,3
100,40.1,40.1,-67,12,3
101,45.1,45.1,-67,12,3
102,50.1,50.1,-65,12,3
103,125.56,125.56,-10,12,3
104,130.07,130.07,-387,12,3
105,130.97,130.97,-12,12,3
106,131.69,131.69,-12,12,3
107,160,160,-81,12,3
108,180.01,180.01,-113.8,12,3
109,180.3,180.3,-65,12,3
110,0,0,-5565.7,12,4
111,0.1,0.1,-90,12,4
112,0.12,0.12,-90,12,4
113,0.14,0.14,-30,12,4
114,0.16,0.16,-30,12,4
115,0.2,0.2,-280,12,4
116,3,3,-490,12,4
117,3.1,3.1,-120,12,4
118,3.3,3.3,-110,12,4
119,3.69,3.69,-120,12,4
120,4.4,4.4,-10,12,4
121,5,5,-30,12,4
122,8,8,-30,12,4
123,25.1,25.1,-100,12,4
124,30.1,30.1,-100,12,4
125,35.1,35.1,-100,12,4
126,40.1,40.1,-100,12,4
127,45.1,45.1,-100,12,4
128,50.1,50.1,-100,12,4
129,125.56,125.56,-10,12,4
130,130.07,130.07,-387,12,4
131,130.97,130.97,-12,12,4
132,131.69,131.69,-12,12,4
133,160,160,-81,12,4
134,180.01,180.01,-113.8,12,4
135,180.3,180.3,-65,12,4
136,0,0,-5797.6,12,5
137,0.1,0.1,-90,12,5
138,0.12,0.12,-90,12,5
139,0.14,0.14,-30,12,5
140,0.16,0.16,-30,12,5
141,0.2,0.2,-280,12,5
142,3,3,-490,12,5
143,3.1,3.1,-120,12,5
144,3.3,3.3,-110,12,5
145,3.69,3.69,-120,12,5
146,4.4,4.4,-10,12,5
147,5,5,-30,12,5
148,8,8,-30,12,5
149,25.1,25.1,-100,12,5
150,30.1,30.1,-100,12,5
151,35.1,35.1,-100,12,5
152,40.1,40.1,-100,12,5
153,45.1,45.1,-100,12,5
154,50.1,50.1,-100,12,5
155,125.56,125.56,-10,12,5
156,130.07,130.07,-387,12,5
157,130.97,130.97,-12,12,5
158,131.69,131.69,-12,12,5
159,160,160,-81,12,5
160,180.01,180.01,-113.8,12,5
161,180.3,180.3,-65,12,5
162,0,0,-5954.8,12,6
163,0.1,0.1,-90,12,6
164,0.12,0.12,-90,12,6
165,0.14,0.14,-30,12,6
166,0.16,0.16,-30,12,6
167,0.2,0.2,-280,12,6
168,3,3,-490,12,6
169,3.1,3.1,-120,12,6
170,3.3,3.3,-110,12,6
171,3.69,3.69,-120,12,6
172,4.4,4.4,-10,12,6
173,5,5,-30,12,6
174,8,8,-30,12,6
175,25.1,25.1,-100,12,6
176,30.1,30.1,-100,12,6
177,35.1,35.1,-100,12,6
178,40.1,40.1,-100,12,6
179,45.1,45.1,-100,12,6
180,50.1,50.1,-100,12,6
181,125.56,125.56,-10,12,6
182,130.07,130.07,-387,12,6
183,130.97,130.97,-12,12,6
184,131.69,131.69,-12,12,6
185,160,160,-81,12,6
186,180.01,180.01,-113.8,12,6
187,180.3,180.3,-65,12,6
188,0,0,-6215.4,12,7
189,0.1,0.1,-90,12,7
190,0.12,0.12,-90,12,7
191,0.14,0.14,-30,12,7
192,0.16,0.16,-30,12,7
193,0.2,0.2,-280,12,7
194,3,3,-560,12,7
195,3.1,3.1,-120,12,7
196,3.3,3.3,-110,12,7
197,3.69,3.69,-120,12,7
198,4.4,4.4,-10,12,7
199,5,5,-30,12,7
200,8,8,-30,12,7
201,25.1,25.1,-67,12,7
202,30.1,30.1,-67,12,7
203,35.1,35.1,-67,12,7
204,40.1,40.1,-67,12,7
205,45.1,45.1,-67,12,7
206,50.1,50.1,-65,12,7
207,125.56,125.56,-10,12,7
208,130.07,130.07,-387,12,7
209,130.97,130.97,-12,12,7
210,131.69,131.69,-12,12,7
211,160,160,-81,12,7
212,180.01,180.01,-113.8,12,7
213,180.3,180.3,-65,12,7
214,0,0,-6343.2,12,8
215,0.1,0.1,-90,12,8
216,0.12,0.12,-90,12,8
217,0.14,0.14,-30,12,8
218,0.16,0.16,-30,12,8
219,0.2,0.2,-280,12,8
220,3,3,-560,12,8
221,3.1,3.1,-120,12,8
222,3.3,3.3,-110,12,8
223,3.69,3.69,-120,12,8
224,4.4,4.4,-10,12,8
225,5,5,-30,12,8
226,8,8,-30,12,8
227,25.1,25.1,-67,12,8
228,30.1,30.1,-67,12,8
229,35.1,35.1,-67,12,8
230,40.1,40.1,-67,12,8
231,45.1,45.1,-67,12,8
232,50.1,50.1,-65,12,8
233,125.56,125.56,-10,12,8
234,130.07,130.07,-387,12,8
235,130.97,130.97,-12,12,8
236,131.69,131.69,-12,12,8
237,160,160,-81,12,8
238,180.01,180.01,-113.8,12,8
239,180.3,180.3,-65,12,8
240,0,0,-6726.2,12,9
241,0.1,0.1,-90,12,9
242,0.12,0.12,-90,12,9
243,0.14,0.14,-30,12,9
244,0.16,0.16,-30,12,9
245,0.2,0.2,-280,12,9
246,3,3,-630,12,9
247,3.1,3.1,-120,12,9
248,3.3,3.3,-110,12,9
249,3.69,3.69,-120,12,9
250,4.4,4.4,-10,12,9
251,5,5,-30,12,9
252,8,8,-30,12,9
253,25.1,25.1,-33,12,9
254,30.1,30.1,-33,12,9
255,35.1,35.1,-33,12,9
256,40.1,40.1,-33,12,9
257,45.1,45.1,-33,12,9
258,50.1,50.1,-35,12,9
259,125.56,125.56,-10,12,9
260,130.07,130.07,-387,12,9
261,130.97,130.97,-12,12,9
262,131.69,131.69,-12,12,9
263,160,160,-81,12,9
264,180.01,180.01,-113.8,12,9
265,180.3,180.3,-65,12,9
266,0,0,-6736.8,12,10
267,0.1,0.1,-90,12,10
268,0.12,0.12,-90,12,10
269,0.14,0.14,-30,12,10
270,0.16,0.16,-30,12,10
271,0.2,0.2,-280,12,10
272,3,3,-630,12,10
273,3.1,3.1,-120,12,10
274,3.3,3.3,-110,12,10
275,3.69,3.69,-120,12,10
276,4.4,4.4,-10,12,10
277,5,5,-30,12,10
278,8,8,-30,12,10
279,25.1,25.1,-33,12,10
280,30.1,30.1,-33,12,10
281,35.1,35.1,-33,12,10
282,40.1,40.1,-33,12,10
283,45.1,45.1,-33,12,10
284,50.1,50.1,-35,12,10
285,125.56,125.56,-10,12,10
286,130.07,130.07,-387,12,10
287,130.97,130.97,-12,12,10
288,131.69,131.69,-12,12,10
289,160,160,-81,12,10
290,180.01,180.01,-113.8,12,10
291,180.3,180.3,-65,12,10
292,0,0,-6809,12,11
293,0.1,0.1,-90,12,11
294,0.12,0.12,-90,12,11
295,0.14,0.14,-30,12,11
296,0.16,0.16,-30,12,11
297,0.2,0.2,-280,12,11
298,3,3,-700,12,11
299,3.1,3.1,-120,12,11
300,3.3,3.3,-110,12,11
301,3.69,3.69,-120,12,11
302,4.4,4.4,-10,12,11
303,5,5,-30,12,11
304,8,8,-30,12,11
305,125.56,125.56,-10,12,11
306,130.07,130.07,-387,12,11
307,130.97,130.97,-12,12,11
308,131.69,131.69,-12,12,11
309,160,160,-81,12,11
310,180.01,180.01,-113.8,12,11
311,180.3,180.3,-65,12,11
312,0,0,-6603.9,12,12
313,0.1,0.1,-90,12,12
314,0.12,0.12,-90,12,12
315,0.14,0.14,-30,12,12
316,0.16,0.16,-30,12,12
317,0.2,0.2,-280,12,12
318,3,3,-700,12,12
319,3.1,3.1,-120,12,12
320,3.3,3.3,-110,12,12
321,3.69,3.69,-120,12,12
322,4.4,4.4,-10,12,12
323,5,5,-30,12,12
324,8,8,-30,12,12
325,125.56,125.56,-10,12,12
326,130.07,130.07,-387,12,12
327,130.97,130.97,-12,12,12
328,131.69,131.69,-12,12,12
329,160,160,-81,12,12
330,180.01,180.01,-113.8,12,12
331,180.3,180.3,-65,12,12
332,0,0,-6370.3,12,13
333,0.1,0.1,-90,12,13
334,0.12,0.12,-90,12,13
335,0.14,0.14,-30,12,13
336,0.16,0.16,-30,12,13
337,0.2,0.2,-280,12,13
338,3,3,-700,12,13
339,3.1,3.1,-120,12,13
340,3.3,3.3,-110,12,13
341,3.69,3.69,-120,12,13
342,4.4,4.4,-10,12,13
343,5,5,-30,12,13
344,8,8,-30,12,13
345,125.56,125.56,-10,12,13
346,130.07,130.07,-387,12,13
347,130.97,130.97,-12,12,13
348,131.69,131.69,-12,12,13
349,160,160,-81,12,13
350,180.01,180.01,-113.8,12,13
351,180.3,180.3,-65,12,13
352,0,0,-6103.4,12,14
353,0.1,0.1,-90,12,14
354,0.12,0.12,-90,12,14
355,0.14,0.14,-30,12,14
356,0.16,0.16,-30,12,14
357,0.2,0.2,-280,12,14
358,3,3,-700,12,14
359,3.1,3.1,-120,12,14
360,3.3,3.3,-110,12,14
361,3.69,3.69,-120,12,14
362,4.4,4.4,-10,12,14
363,5,5,-30,12,14
364,8,8,-30,12,14
365,125.56,125.56,-10,12,14
366,130.07,130.07,-387,12,14
367,130.97,130.97,-12,12,14
368,131.69,131.69,-12,12,14
369,160,160,-81,12,14
370,180.01,180.01,-113.8,12,14
371,180.3,180.3,-65,12,14
372,0,0,-5753.6,12,15
373,0.1,0.1,-90,12,15
374,0.12,0.12,-90,12,15
375,0.14,0.14,-30,12,15
376,0.16,0.16,-30,12,15
377,0.2,0.2,-280,12,15
378,3,3,-700,12,15
379,3.1,3.1,-120,12,15
380,3.3,3.3,-110,12,15
381,3.69,3.69,-120,12,15
382,4.4,4.4,-10,12,15
383,5,5,-30,12,15
384,8,8,-30,12,15
385,125.56,125.56,-10,12,15
386,130.07,130.07,-387,12,15
387,130.97,130.97,-12,12,15
388,131.69,131.69,-12,12,15
389,160,160,-81,12,15
390,180.01,180.01,-113.8,12,15
391,180.3,180.3,-65,12,15
392,0,0,-5484.3,12,16
393,0.1,0.1,-90,12,16
394,0.12,0.12,-90,12,16
395,0.14,0.14,-30,12,16
396,0.16,0.16,-30,12,16
397,0.2,0.2,-280,12,16
398,3,3,-700,12,16
399,3.1,3.1,-120,12,16
400,3.3,3.3,-110,12,16
401,3.69,3.69,-120,12,16
402,4.4,4.4,-10,12,16
403,5,5,-30,12,16
404,8,8,-30,12,16
405,125.56,125.56,-10,12,16
406,130.07,130.07,-387,12,16
407,130.97,130.97,-12,12,16
408,131.69,131.69,-12,12,16
409,160,160,-81,12,16
410,180.01,180.01,-113.8,12,16
411,180.3,180.3,-65,12,16
412,0,0,-5240.5,12,17
413,0.1,0.1,-90,12,17
414,0.12,0.12,-90,12,17
415,0.14,0.14,-30,12,17
416,0.16,0.16,-30,12,17
417,0.2,0.2,-280,12,17
418,3,3,-700,12,17
419,3.1,3.1,-120,12,17
420,3.3,3.3,-110,12,17
421,3.69,3.69,-120,12,17
422,4.4,4.4,-10,12,17
423,5,5,-30,12,17
424,8,8,-30,12,17
425,125.56,125.56,-10,12,17
426,130.07,130.07,-387,12,17
427,130.97,130.97,-12,12,17
428,131.69,131.69,-12,12,17
429,160,160,-81,12,17
430,180.01,180.01,-113.8,12,17
431,180.3,180.3,-65,12,17
432,0,0,-5013.9,12,18
433,0.1,0.1,-90,12,18
434,0.12,0.12,-90,12,18
435,0.14,0.14,-30,12,18
436,0.16,0.16,-30,12,18
437,0.2,0.2,-280,12,18
438,3,3,-700,12,18
439,3.1,3.1,-120,12,18
440,3.3,3.3,-110,12,18
441,3.69,3.69,-120,12,18
442,4.4,4.4,-10,12,18
443,5,5,-30,12,18
444,8,8,-30,12,18
445,125.56,125.56,-10,12,18
446,130.07,130.07,-387,12,18
447,130.97,130.97,-12,12,18
448,131.69,131.69,-12,12,18
449,160,160,-81,12,18
450,180.01,180.01,-113.8,12,18
451,180.3,180.3,-65,12,18
452,0,0,-4839.8,12,19
453,0.1,0.1,-90,12,19
454,0.12,0.12,-90,12,19
455,0.14,0.14,-30,12,19
456,0.16,0.16,-30,12,19
457,0.2,0.2,-280,12,19
458,3,3,-700,12,19
459,3.1,3.1,-120,12,19
460,3.3,3.3,-110,12,19
461,3.69,3.69,-120,12,19
462,4.4,4.4,-10,12,19
463,5,5,-30,12,19
464,8,8,-30,12,19
465,125.56,125.56,-10,12,19
466,130.07,130.07,-387,12,19
467,130.97,130.97,-12,12,19
468,131.69,131.69,-12,12,19
469,160,160,-81,12,19
470,180.01,180.01,-113.8,12,19
471,180.3,180.3,-65,12,19
472,0,0,-4732.3,12,20
473,0.1,0.1,-90,12,20
474,0.12,0.12,-90,12,20
475,0.14,0.14,-30,12,20
476,0.16,0.16,-30,12,20
477,0.2,0.2,-280,12,20
478,3,3,-700,12,20
479,3.1,3.1,-120,12,20
480,3.3,3.3,-110,12,20
481,3.69,3.69,-120,12,20
482,4.4,4.4,-10,12,20
483,5,5,-30,12,20
484,8,8,-30,12,20
485,125.56,125.56,-10,12,20
486,130.07,130.07,-387,12,20
487,130.97,130.97,-12,12,20
488,131.69,131.69,-12,12,20
489,160,160,-81,12,20
490,180.01,180.01,-113.8,12,20
491,180.3,180.3,-65,12,20
492,0,0,-4681.4,12,21
493,0.1,0.1,-90,12,21
494,0.12,0.12,-90,12,21
495,0.14,0.14,-30,12,21
496,0.16,0.16,-30,12,21
497,0.2,0.2,-280,12,21
498,3,3,-700,12,21
499,3.1,3.1,-120,12,21
500,3.3,3.3,-110,12,21
501,3.69,3.69,-120,12,21
