"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,20878.4,11,3
2,180,180,11.9,11,3
3,179.99,179.99,65,11,3
4,150,150,8.6,11,3
5,140,140,11.1,11,3
6,120,120,56.1,11,3
7,110,110,186.8,11,3
8,100,100,30.7,11,3
9,93,93,0.4,11,3
10,92,92,0.6,11,3
11,91,91,0.1,11,3
12,90,90,585.9,11,3
13,89.99,89.99,200,11,3
14,85,85,1296.4,11,3
15,84.98,84.98,300,11,3
16,80,80,340.4,11,3
17,76,76,0.1,11,3
18,75.77,75.77,91.7,11,3
19,75,75,68.6,11,3
20,73.86,73.86,8.7,11,3
21,70.84,70.84,0.1,11,3
22,70,70,9.5,11,3
23,65,65,72.5,11,3
24,60,60,128.7,11,3
25,55,55,10,11,3
26,52.06,52.06,0.1,11,3
27,50,50,22.1,11,3
28,47.41,47.41,61.2,11,3
29,43.4,43.4,20,11,3
30,42.5,42.5,4.9,11,3
31,40.4,40.4,20,11,3
32,40,40,339.8,11,3
33,39,39,13.7,11,3
34,38.4,38.4,10,11,3
35,38,38,100,11,3
36,35,35,40.8,11,3
37,30.5,30.5,4.8,11,3
38,30,30,47.4,11,3
39,25,25,109.4,11,3
40,22.72,22.72,100,11,3
41,20.5,20.5,2.4,11,3
42,20,20,73.4,11,3
43,15,15,49.6,11,3
44,13.5,13.5,45,11,3
45,12.74,12.74,0.9,11,3
46,10,10,51.2,11,3
47,8,8,50,11,3
48,6,6,5,11,3
49,5,5,20,11,3
50,3,3,196.5,11,3
51,2,2,272,11,3
52,1,1,254.9,11,3
53,0.5,0.5,452,11,3
54,0.4,0.4,73,11,3
55,0.3,0.3,100,11,3
56,0.2,0.2,112.2,11,3
57,0.1,0.1,139.3,11,3
58,0.07,0.07,300,11,3
59,0.01,0.01,104,11,3
60,0,0,758.2,11,3
61,180.3,180.3,19531.9,11,4
62,180,180,11.4,11,4
63,179.99,179.99,65,11,4
64,150,150,8.2,11,4
65,140,140,10.3,11,4
66,120,120,53.4,11,4
67,110,110,186.5,11,4
68,100,100,30.7,11,4
69,93,93,0.5,11,4
70,92,92,0.6,11,4
71,91,91,0.1,11,4
72,90,90,558.3,11,4
73,89.99,89.99,200,11,4
74,84.98,84.98,300,11,4
75,80.78,80.78,1297.8,11,4
76,80,80,340.5,11,4
77,75.77,75.77,90.8,11,4
78,75,75,67.3,11,4
79,71.97,71.97,8.3,11,4
80,70,70,9.3,11,4
81,68.87,68.87,0.1,11,4
82,65,65,70.5,11,4
83,60,60,126.7,11,4
84,55,55,10,11,4
85,52.06,52.06,0.1,11,4
86,50,50,22.1,11,4
87,47.41,47.41,61.2,11,4
88,43.4,43.4,20,11,4
89,42.5,42.5,4.7,11,4
90,40.4,40.4,20,11,4
91,40,40,332,11,4
92,39,39,11.6,11,4
93,38.4,38.4,10,11,4
94,36,36,1.4,11,4
95,35,35,40.1,11,4
96,32,32,100,11,4
97,30.5,30.5,4.7,11,4
98,30,30,47,11,4
99,25,25,108.4,11,4
100,20.5,20.5,2.4,11,4
101,20,20,72.9,11,4
102,19.23,19.23,84,11,4
103,15,15,49,11,4
104,11.94,11.94,0.9,11,4
105,10,10,26.8,11,4
106,9,9,0.3,11,4
107,8,8,50,11,4
108,7.3,7.3,20,11,4
109,5,5,25,11,4
110,3,3,196.7,11,4
111,2,2,272,11,4
112,1,1,254.6,11,4
113,0.5,0.5,452.1,11,4
114,0.4,0.4,73,11,4
115,0.3,0.3,100,11,4
116,0.2,0.2,112.8,11,4
117,0.1,0.1,139.5,11,4
118,0.07,0.07,300,11,4
119,0.01,0.01,104,11,4
120,0,0,758.3,11,4
121,180.3,180.3,18762.6,11,5
122,180,180,11,11,5
123,179.99,179.99,95,11,5
