"MP","LC","FC","VC","RU","RD"
624,11,0,60.4,NA,NA
625,11,0,59.7,NA,NA
626,11,0,94,NA,NA
627,11,1211444,106.92,NA,NA
628,11,0,48,NA,NA
629,11,79532,49.25,NA,NA
630,11,82769,46,NA,NA
631,11,0,38,NA,NA
632,11,82769,42,NA,NA
633,11,82769,41,NA,NA
634,11,45650,62.36,NA,NA
635,11,45650,62.36,NA,NA
636,11,45650,62.36,NA,NA
637,11,26394,99,NA,NA
638,11,56931,99,NA,NA
639,11,70800,74.08,NA,NA
640,11,70800,74.08,NA,NA
641,11,0,81.86,NA,NA
642,11,0,82.38,NA,NA
643,11,45171,84.27,NA,NA
644,11,60161,81.62,NA,NA
645,11,40942,83.78,NA,NA
646,11,28040,100.16,NA,NA
647,11,19052,62.04,NA,NA
648,11,38134,77.15,NA,NA
649,11,86000,54.03,NA,NA
650,11,6000,106.01,NA,NA
651,11,6000,107.34,NA,NA
652,11,6000,129.44,NA,NA
653,11,6000,137.31,NA,NA
654,11,6000,116.87,NA,NA
655,11,6000,104.72,NA,NA
656,11,6000,136.81,NA,NA
657,11,6000,132.81,NA,NA
658,11,6000,123.19,NA,NA
659,11,0,97,NA,NA
660,11,0,105,NA,NA
661,11,44000,45.5,120,120
662,11,40000,43,120,120
663,11,50000,45.5,120,120
664,11,70000,83.02,NA,NA
665,11,17000,74,150,150
666,11,55000,130,150,150
667,11,17000,77,150,150
668,11,33000,89,150,150
669,11,25300,49,NA,NA
670,11,0,62.69,NA,NA
671,11,102310,67.6,NA,NA
672,11,0,77.46,NA,NA
673,11,0,61.18,NA,NA
674,11,0,60.53,NA,NA
675,11,0,95,NA,NA
676,11,0,80.97,NA,NA
677,11,98135,52.21,NA,NA
678,11,64272,96.61,NA,NA
679,11,65888,64.25,NA,NA
680,11,106397,93.43,NA,NA
681,11,0,95,NA,NA
682,11,0,75.53,NA,NA
683,11,0,76.07,NA,NA
684,11,0,105,NA,NA
685,11,0,77.75,NA,NA
686,11,105260,55.64,NA,NA
687,11,147236,85.14,NA,NA
688,11,0,75.96,NA,NA
689,11,0,71.53,NA,NA
690,11,0,93.09,NA,NA
691,11,0,60.84,NA,NA
692,11,0,82.25,NA,NA
693,11,0,66.5,NA,NA
694,11,50770,100.31,NA,NA
695,11,53878,94.55,NA,NA
696,11,61156,93.37,NA,NA
697,12,80000,23,114,360
698,12,80000,18,114,360
699,12,140000,180,54,288
700,12,50000,45,54,288
701,12,50000,32,150,288
702,12,56866,99,NA,NA
703,12,56866,99,NA,NA
704,12,20000,29.2,NA,NA
705,12,20000,29.3,NA,NA
706,12,20000,29.4,NA,NA
707,12,20000,29.5,NA,NA
708,12,150000,76,NA,NA
709,12,150000,76.5,NA,NA
710,12,20000,73.1,NA,NA
711,12,20000,71.65,NA,NA
712,12,50000,73.5,NA,NA
