"H","PH","QH","TH","MP","AR","LH","VH"
1,72.12,-402.2,1,624,0.8,11,60.4
2,72.12,-402.2,2,624,0.8,11,60.4
3,72.12,-402.2,3,624,0.8,11,60.4
4,72.12,-402.2,4,624,0.8,11,60.4
5,72.12,-402.2,5,624,0.8,11,60.4
6,72.12,-402.2,6,624,0.8,11,60.4
7,72.12,-402.2,7,624,0.8,11,60.4
8,72.12,-402.2,8,624,0.8,11,60.4
9,24.16,-80,9,624,0.8,11,60.4
10,72.12,-322.2,9,624,0,11,60.4
11,24.16,-120,10,624,0.8,11,60.4
12,72.12,-282.2,10,624,0,11,60.4
13,24.16,-120,11,624,0.8,11,60.4
14,72.12,-282.2,11,624,0,11,60.4
15,24.16,-120,12,624,0.8,11,60.4
16,72.12,-282.2,12,624,0,11,60.4
17,24.16,-120,13,624,0.8,11,60.4
18,72.12,-282.2,13,624,0,11,60.4
19,24.16,-135,14,624,0.8,11,60.4
20,72.12,-267.2,14,624,0,11,60.4
21,24.16,-275,15,624,0.8,11,60.4
22,72.12,-127.2,15,624,0,11,60.4
23,24.16,-389.8,16,624,0.8,11,60.4
24,72.12,-12.4,16,624,0,11,60.4
25,24.16,-391.3,17,624,0.8,11,60.4
26,72.12,-10.9,17,624,0,11,60.4
27,24.16,-392.5,18,624,0.8,11,60.4
28,72.12,-9.7,18,624,0,11,60.4
29,24.16,-393.7,19,624,0.8,11,60.4
30,72.12,-8.5,19,624,0,11,60.4
31,24.16,-395.2,20,624,0.8,11,60.4
32,72.12,-7,20,624,0,11,60.4
33,24.16,-396.2,21,624,0.8,11,60.4
34,72.12,-6,21,624,0,11,60.4
35,24.16,-397.3,22,624,0.8,11,60.4
36,72.12,-4.9,22,624,0,11,60.4
37,24.16,-397.7,23,624,0.8,11,60.4
38,72.12,-4.5,23,624,0,11,60.4
39,24.16,-398,24,624,0.8,11,60.4
40,72.12,-4.2,24,624,0,11,60.4
41,72.12,-397,1,625,0.8,11,59.7
42,72.12,-397,2,625,0.8,11,59.7
43,72.12,-397,3,625,0.8,11,59.7
44,72.12,-397,4,625,0.8,11,59.7
45,72.12,-397,5,625,0.8,11,59.7
46,72.12,-397,6,625,0.8,11,59.7
47,72.12,-397,7,625,0.8,11,59.7
48,72.12,-397,8,625,0.8,11,59.7
49,23.88,-80,9,625,0.8,11,59.7
50,72.12,-317,9,625,0,11,59.7
51,23.88,-120,10,625,0.8,11,59.7
52,72.12,-277,10,625,0,11,59.7
53,23.88,-120,11,625,0.8,11,59.7
54,72.12,-277,11,625,0,11,59.7
55,23.88,-120,12,625,0.8,11,59.7
56,72.12,-277,12,625,0,11,59.7
57,23.88,-120,13,625,0.8,11,59.7
58,72.12,-277,13,625,0,11,59.7
59,23.88,-140,14,625,0.8,11,59.7
60,72.12,-257,14,625,0,11,59.7
61,23.88,-270,15,625,0.8,11,59.7
62,72.12,-127,15,625,0,11,59.7
63,23.88,-388.7,16,625,0.8,11,59.7
64,72.12,-8.3,16,625,0,11,59.7
65,23.88,-390.2,17,625,0.8,11,59.7
66,72.12,-6.8,17,625,0,11,59.7
67,23.88,-391.4,18,625,0.8,11,59.7
68,72.12,-5.6,18,625,0,11,59.7
69,23.88,-392.7,19,625,0.8,11,59.7
70,72.12,-4.3,19,625,0,11,59.7
71,23.88,-394.2,20,625,0.8,11,59.7
72,72.12,-2.8,20,625,0,11,59.7
73,23.88,-395.1,21,625,0.8,11,59.7
74,72.12,-1.9,21,625,0,11,59.7
75,23.88,-396.3,22,625,0.8,11,59.7
76,72.12,-0.7,22,625,0,11,59.7
77,23.88,-396.6,23,625,0.8,11,59.7
78,72.12,-0.4,23,625,0,11,59.7
79,23.88,-396.9,24,625,0.8,11,59.7
80,72.12,-0.1,24,625,0,11,59.7
81,72.12,-797.8,1,626,0.8,11,94
82,72.12,-797.8,2,626,0.8,11,94
83,72.12,-797.8,3,626,0.8,11,94
84,72.12,-797.8,4,626,0.8,11,94
85,72.12,-797.8,5,626,0.8,11,94
86,72.12,-797.8,6,626,0.8,11,94
87,37.6,-40,7,626,0.8,11,94
88,52,-757.8,7,626,0,11,94
89,37.6,-60,8,626,0.8,11,94
90,52,-737.8,8,626,0,11,94
91,37.6,-100,9,626,0.8,11,94
92,52,-697.8,9,626,0,11,94
93,37.6,-180,10,626,0.8,11,94
94,37.6,-34,10,626,0,11,94
95,37.6,-34,10,626,0,11,94
96,37.6,-34,10,626,0,11,94
97,37.6,-34,10,626,0,11,94
98,37.6,-34,10,626,0,11,94
99,48,-112,10,626,0,11,94
100,49.6,-112,10,626,0,11,94
101,54,-112,10,626,0,11,94
102,56,-111.8,10,626,0,11,94
103,37.6,-180,11,626,0.8,11,94
104,37.6,-34,11,626,0,11,94
105,37.6,-34,11,626,0,11,94
106,37.6,-34,11,626,0,11,94
