"from","too","t","linecap"
12,11,1,2000
11,12,1,1700
12,11,2,2100
11,12,2,1100
12,11,3,2100
11,12,3,700
12,11,4,2100
11,12,4,300
12,11,5,2100
11,12,5,100
12,11,6,2100
11,12,6,0
12,11,7,2100
11,12,7,100
12,11,8,2000
11,12,8,400
12,11,9,1500
11,12,9,1000
12,11,10,1500
11,12,10,2100
12,11,11,1500
11,12,11,2200
12,11,12,1500
11,12,12,2200
12,11,13,1500
11,12,13,2200
12,11,14,1500
11,12,14,2200
12,11,15,2000
11,12,15,2200
12,11,16,2000
11,12,16,2200
12,11,17,2000
11,12,17,2200
12,11,18,2000
11,12,18,2200
12,11,19,2000
11,12,19,2200
12,11,20,2000
11,12,20,2200
12,11,21,2000
11,12,21,2200
12,11,22,2000
11,12,22,2200
12,11,23,2000
11,12,23,2200
12,11,24,2000
11,12,24,2200
