"I","PI0","PI1","QI","LI","TI"
1,180.3,180.3,23489.8,11,1
2,180,180,519.1,11,1
3,150,150,10,11,1
4,140,140,12.8,11,1
5,130,130,5.8,11,1
6,120,120,401.4,11,1
7,118.59,118.59,56.6,11,1
8,110,110,8.3,11,1
9,105,105,0.3,11,1
10,100,100,318.1,11,1
11,99,99,981.9,11,1
12,95,95,0.1,11,1
13,94.61,94.61,11.7,11,1
14,90,90,117.7,11,1
15,89.99,89.99,200,11,1
16,85,85,90.6,11,1
17,84.98,84.98,300,11,1
18,75,75,94.7,11,1
19,70,70,10.6,11,1
20,63.21,63.21,0.1,11,1
21,60.69,60.69,83.5,11,1
22,55.69,55.69,83.5,11,1
23,55.1,55.1,3.5,11,1
24,55,55,5.5,11,1
25,52.06,52.06,0.1,11,1
26,50,50,0.6,11,1
27,45,45,193.5,11,1
28,43.4,43.4,20,11,1
29,42.95,42.95,25,11,1
30,41.97,41.97,25,11,1
31,40.5,40.5,5.9,11,1
32,40.4,40.4,20,11,1
33,39.33,39.33,68.9,11,1
34,38.4,38.4,10,11,1
35,35.5,35.5,5.9,11,1
36,35,35,62.9,11,1
37,34.77,34.77,1.2,11,1
38,33,33,50,11,1
39,30,30,154.1,11,1
40,26,26,50,11,1
41,25.5,25.5,4,11,1
42,25,25,73.5,11,1
43,22,22,4.8,11,1
44,20,20,111.2,11,1
45,19,19,0.4,11,1
46,18,18,4.8,11,1
47,16.33,16.33,103.4,11,1
48,15,15,82.2,11,1
49,13.33,13.33,103.4,11,1
50,13,13,1.1,11,1
51,11.75,11.75,25,11,1
52,10,10,145.4,11,1
53,9.75,9.75,10,11,1
54,7,7,0.8,11,1
55,5,5,112.7,11,1
56,3,3,93.3,11,1
57,2,2,10,11,1
58,1,1,31.5,11,1
59,0.5,0.5,100.1,11,1
60,0.2,0.2,5.9,11,1
61,0.1,0.1,57.5,11,1
62,0.05,0.05,90,11,1
63,0.01,0.01,52,11,1
64,0,0,905.4,11,1
65,180.3,180.3,20972.4,11,2
66,180,180,568.2,11,2
67,150,150,9.3,11,2
68,140,140,10.3,11,2
69,130,130,5.7,11,2
70,120,120,394.9,11,2
71,118.59,118.59,55.3,11,2
72,110,110,7.2,11,2
73,100,100,301.2,11,2
74,97,97,0.3,11,2
75,95,95,0.1,11,2
76,90,90,101.8,11,2
77,89.99,89.99,200,11,2
78,86.4,86.4,1010.4,11,2
79,84.98,84.98,300,11,2
80,84.28,84.28,11.3,11,2
81,76,76,0.1,11,2
82,75,75,89.5,11,2
83,70,70,13.1,11,2
84,56.42,56.42,0.1,11,2
85,55,55,5,11,2
86,52.06,52.06,0.1,11,2
87,50,50,87.9,11,2
88,47.98,47.98,79,11,2
89,47.2,47.2,3.6,11,2
90,45,45,193.4,11,2
91,43.4,43.4,20,11,2
92,42.98,42.98,79,11,2
93,41.97,41.97,26.3,11,2
94,40.4,40.4,20,11,2
95,40,40,50,11,2
96,38.4,38.4,10,11,2
97,38,38,50,11,2
98,35,35,59.3,11,2
99,30.5,30.5,5.6,11,2
100,30,30,153.3,11,2
101,29.93,29.93,1,11,2
102,29.05,29.05,67,11,2
103,27.1,27.1,190,11,2
104,26.32,26.32,190,11,2
105,25.96,25.96,72,11,2
106,25.95,25.95,190,11,2
107,25.5,25.5,5.6,11,2
108,25,25,70.8,11,2
109,24.63,24.63,72,11,2
110,23.52,23.52,78,11,2
111,20.5,20.5,3.7,11,2
112,20,20,107.6,11,2
113,19.3,19.3,138,11,2
114,19.2,19.2,138,11,2
115,15.05,15.05,100.5,11,2
116,15,15,48.6,11,2
117,13.05,13.05,100.5,11,2
118,12,12,2.9,11,2
119,11.63,11.63,10,11,2
120,10.63,10.63,10,11,2
121,10,10,141.4,11,2
122,9,9,0.4,11,2
123,8.63,8.63,10,11,2
124,8,8,1.3,11,2
125,6.63,6.63,10,11,2
126,6,6,1,11,2
127,5,5,27.7,11,2
128,3,3,3.2,11,2
129,2.1,2.1,72,11,2
130,2,2,10,11,2
131,1,1,30.4,11,2
132,0.5,0.5,70.6,11,2
133,0.2,0.2,7.3,11,2
134,0.1,0.1,27.9,11,2
135,0.01,0.01,412,11,2
136,0,0,960.8,11,2
137,180.3,180.3,18945.5,11,3
138,180,180,546.6,11,3
139,150,150,8.9,11,3
140,140,140,8.6,11,3
141,130,130,5.6,11,3
142,120,120,389.8,11,3
143,118.59,118.59,54.7,11,3
144,110,110,107.5,11,3
145,100,100,286,11,3
146,95,95,0.1,11,3
147,90,90,90.3,11,3
148,89.99,89.99,200,11,3
149,85,85,0.3,11,3
150,84.98,84.98,300,11,3
151,76,76,1205.6,11,3
152,75,75,87.8,11,3
153,73.86,73.86,11,11,3
154,70,70,12.5,11,3
155,55,55,4.5,11,3
156,52.06,52.06,0.1,11,3
157,50,50,89.9,11,3
158,49.32,49.32,0.1,11,3
159,45,45,168,11,3
160,43.4,43.4,20,11,3
161,41.97,41.97,6.5,11,3
162,40.4,40.4,20,11,3
163,40,40,75,11,3
164,39,39,3.7,11,3
165,38.4,38.4,10,11,3
166,38,38,100,11,3
167,37.71,37.71,100,11,3
168,35,35,61.8,11,3
169,30.5,30.5,5.7,11,3
170,30,30,155.1,11,3
171,28.4,28.4,24.9,11,3
172,27.1,27.1,190,11,3
173,26.32,26.32,190,11,3
174,25.96,25.96,72,11,3
175,25.95,25.95,190,11,3
176,25.5,25.5,5.7,11,3
177,25.47,25.47,1,11,3
178,25,25,72.7,11,3
179,24.63,24.63,72,11,3
180,23.52,23.52,78,11,3
181,20.5,20.5,2.8,11,3
182,20,20,111.6,11,3
183,19.3,19.3,138,11,3
184,19.2,19.2,138,11,3
185,15,15,50,11,3
186,14.4,14.4,37.9,11,3
187,13,13,30,11,3
188,12.4,12.4,37.9,11,3
189,12,12,2.5,11,3
190,10,10,143.4,11,3
191,9.25,9.25,10,11,3
192,8.25,8.25,10,11,3
193,6.25,6.25,10,11,3
194,6,6,0.9,11,3
195,5,5,8.3,11,3
196,4.25,4.25,10,11,3
197,3,3,3.2,11,3
198,2.1,2.1,72,11,3
199,2,2,10,11,3
200,1,1,31.6,11,3
201,0.5,0.5,70.9,11,3
202,0.2,0.2,8.4,11,3
203,0.1,0.1,28.3,11,3
204,0.01,0.01,412,11,3
205,0,0,960.8,11,3
206,180.3,180.3,18282.4,11,4
207,180,180,518,11,4
208,150,150,8.7,11,4
209,140,140,7.9,11,4
210,130,130,5.6,11,4
211,120,120,387.2,11,4
212,118.59,118.59,54.5,11,4
213,110,110,89.6,11,4
214,100,100,279.7,11,4
215,95,95,0.1,11,4
216,90,90,88.1,11,4
217,89.99,89.99,200,11,4
218,85,85,0.3,11,4
219,84.98,84.98,300,11,4
220,75,75,85.5,11,4
221,71.97,71.97,10.7,11,4
222,70.75,70.75,1185.2,11,4
223,70,70,12.3,11,4
224,55,55,4.4,11,4
225,52.06,52.06,0.1,11,4
226,50,50,89.9,11,4
227,47.44,47.44,0.1,11,4
228,45,45,90,11,4
229,43.4,43.4,20,11,4
230,41.97,41.97,6.7,11,4
231,40.4,40.4,20,11,4
232,40,40,73,11,4
233,38.4,38.4,10,11,4
234,36,36,3.4,11,4
235,35,35,63.6,11,4
236,32,32,100,11,4
237,31.77,31.77,25,11,4
238,30.5,30.5,5.6,11,4
239,30,30,156.6,11,4
240,27.62,27.62,29.9,11,4
241,27.1,27.1,190,11,4
242,26.32,26.32,190,11,4
243,25.96,25.96,72,11,4
244,25.95,25.95,190,11,4
245,25.5,25.5,5.6,11,4
246,25,25,167.1,11,4
247,24.63,24.63,72,11,4
248,23.87,23.87,0.9,11,4
249,23.52,23.52,78,11,4
250,20.5,20.5,2.7,11,4
251,20,20,110.2,11,4
252,19.3,19.3,138,11,4
253,19.2,19.2,138,11,4
254,15,15,51,11,4
255,13.62,13.62,44.9,11,4
256,12,12,2.3,11,4
257,11.62,11.62,44.9,11,4
258,10,10,144.9,11,4
259,9.04,9.04,10,11,4
260,8.04,8.04,10,11,4
261,6.04,6.04,10,11,4
262,6,6,0.8,11,4
263,5,5,8.4,11,4
264,4.04,4.04,10,11,4
265,3,3,3.2,11,4
266,2.1,2.1,72,11,4
267,2,2,10,11,4
268,1,1,32.4,11,4
269,0.5,0.5,71.1,11,4
270,0.2,0.2,9.1,11,4
271,0.1,0.1,28.4,11,4
272,0.01,0.01,412,11,4
273,0,0,960.8,11,4
274,180.3,180.3,18087.5,11,5
275,180,180,558,11,5
276,150,150,8.6,11,5
277,140,140,7.5,11,5
278,130,130,5.5,11,5
279,120,120,386.4,11,5
280,118.59,118.59,54.4,11,5
281,110,110,59.7,11,5
282,100,100,272.3,11,5
283,95,95,0.1,11,5
284,90,90,87.7,11,5
285,89.99,89.99,200,11,5
286,85,85,0.3,11,5
287,84.98,84.98,300,11,5
288,75,75,85,11,5
289,70.68,70.68,10.5,11,5
290,70,70,1247.3,11,5
291,55,55,4.2,11,5
292,52.06,52.06,0.1,11,5
293,50,50,89.9,11,5
294,45.48,45.48,0.1,11,5
295,45,45,90.1,11,5
296,43.4,43.4,20,11,5
297,41.97,41.97,6.8,11,5
298,40.4,40.4,20,11,5
299,40,40,73,11,5
300,38.4,38.4,10,11,5
301,35,35,64.5,11,5
302,34,34,3.5,11,5
303,31.78,31.78,25,11,5
304,30.5,30.5,5.6,11,5
305,30,30,208.4,11,5
306,27.62,27.62,17.9,11,5
307,27.1,27.1,190,11,5
308,26.32,26.32,190,11,5
