"I","PI0","PI1","QI","LI","TI"
1,0,0,-12375.8,11,9
2,0.1,0.1,-1,11,9
3,0.5,0.5,-146.1,11,9
4,0.6,0.6,-147.8,11,9
5,0.7,0.7,-11.7,11,9
6,1,1,-38.1,11,9
7,1.5,1.5,-13.6,11,9
8,2,2,-47.4,11,9
9,2.5,2.5,-2,11,9
10,3,3,-33.9,11,9
11,4.03,4.03,-12,11,9
12,4.5,4.5,-123.5,11,9
13,5,5,-319.4,11,9
14,5.01,5.01,-20,11,9
15,6,6,-284,11,9
16,7,7,-56.6,11,9
17,8.25,8.25,-24,11,9
18,9.02,9.02,-30,11,9
19,10,10,-154.1,11,9
20,10.01,10.01,-40,11,9
21,11,11,-79.2,11,9
22,12.02,12.02,-45,11,9
23,15,15,-50.1,11,9
24,15.5,15.5,-26,11,9
25,16,16,-47.1,11,9
26,19,19,-25.6,11,9
27,20,20,-11.9,11,9
28,22,22,-50,11,9
29,24,24,-4.8,11,9
30,25,25,-62.5,11,9
31,25.03,25.03,-11,11,9
32,26,26,-4.9,11,9
33,26.8,26.8,-6.8,11,9
34,28.34,28.34,-62.5,11,9
35,30,30,-43,11,9
36,31.69,31.69,-62.5,11,9
37,33,33,-8,11,9
38,35,35,-50,11,9
39,35.03,35.03,-69.5,11,9
40,37.31,37.31,-90,11,9
41,39.12,39.12,-90,11,9
42,40,40,-109.3,11,9
43,40.1,40.1,-140.1,11,9
44,40.93,40.93,-90,11,9
45,42.02,42.02,-20,11,9
46,42.03,42.03,-50,11,9
47,42.13,42.13,-50,11,9
48,42.23,42.23,-50,11,9
49,42.33,42.33,-50,11,9
50,42.5,42.5,-0.1,11,9
51,42.75,42.75,-90,11,9
52,43.71,43.71,-50,11,9
53,43.81,43.81,-50,11,9
54,43.91,43.91,-50,11,9
55,44.01,44.01,-50,11,9
56,44.72,44.72,-100,11,9
57,45,45,-130,11,9
58,46.75,46.75,-100,11,9
59,47.5,47.5,-0.1,11,9
60,48,48,-80,11,9
61,48.11,48.11,-68.9,11,9
62,48.3,48.3,-290.7,11,9
63,49,49,-62,11,9
64,49.51,49.51,-68.9,11,9
65,50,50,-69.9,11,9
66,50.1,50.1,-290.7,11,9
67,50.13,50.13,-45,11,9
68,50.5,50.5,-0.1,11,9
69,52,52,-80,11,9
70,54,54,-4.5,11,9
71,55.03,55.03,-5,11,9
72,55.35,55.35,-50,11,9
73,55.45,55.45,-50,11,9
74,55.55,55.55,-50,11,9
75,55.65,55.65,-50,11,9
76,58.48,58.48,-290.7,11,9
77,60,60,-4.9,11,9
78,60.13,60.13,-45,11,9
79,60.8,60.8,-290.7,11,9
80,63,63,-1.1,11,9
81,65.5,65.5,-10,11,9
82,70,70,-8.3,11,9
83,70.04,70.04,-17,11,9
84,73.34,73.34,-8.3,11,9
85,73.38,73.38,-17,11,9
86,73.5,73.5,-35,11,9
87,75.13,75.13,-45,11,9
88,76.69,76.69,-8.3,11,9
89,76.73,76.73,-17,11,9
90,77.4,77.4,-10,11,9
91,79,79,-17,11,9
92,79.5,79.5,-10,11,9
93,80.03,80.03,-8.1,11,9
94,80.07,80.07,-17,11,9
95,83.7,83.7,-74.4,11,9
96,99.5,99.5,-665.2,11,9
97,133.1,133.1,-192,11,9
98,145,145,-19,11,9
99,145.01,145.01,-9.3,11,9
100,160,160,-1297.2,11,9
101,180,180,-694.9,11,9
102,180.3,180.3,-568.7,11,9
103,0,0,-13804.2,11,10
104,0.1,0.1,-1,11,10
105,0.5,0.5,-138.9,11,10
106,0.6,0.6,-147.8,11,10
107,0.7,0.7,-13.8,11,10
108,1,1,-46.7,11,10
109,1.5,1.5,-8.5,11,10
110,2,2,-56.1,11,10
111,2.5,2.5,-3.1,11,10
112,3,3,-42.6,11,10
113,4.03,4.03,-12,11,10
114,4.5,4.5,-126.9,11,10
115,5,5,-309.5,11,10
