"H","PH","QH","TH","MP","AR","LH","VH"
1,72.12,-402.2,1,705,0.8,11,63
2,72.12,-402.2,2,705,0.8,11,63
3,72.12,-402.2,3,705,0.8,11,63
4,72.12,-402.2,4,705,0.8,11,63
5,72.12,-402.2,5,705,0.8,11,63
6,72.12,-402.2,6,705,0.8,11,63
7,72.12,-402.2,7,705,0.8,11,63
8,72.12,-402.2,8,705,0.8,11,63
9,25.2,-80,9,705,0.8,11,63
10,72.12,-322.2,9,705,0,11,63
11,25.2,-120,10,705,0.8,11,63
12,72.12,-282.2,10,705,0,11,63
13,25.2,-120,11,705,0.8,11,63
14,72.12,-282.2,11,705,0,11,63
15,25.2,-120,12,705,0.8,11,63
16,72.12,-282.2,12,705,0,11,63
17,25.2,-120,13,705,0.8,11,63
18,72.12,-282.2,13,705,0,11,63
19,25.2,-135,14,705,0.8,11,63
20,72.12,-267.2,14,705,0,11,63
21,25.2,-275,15,705,0.8,11,63
22,72.12,-127.2,15,705,0,11,63
23,25.2,-384.4,16,705,0.8,11,63
24,72.12,-17.8,16,705,0,11,63
25,25.2,-385.2,17,705,0.8,11,63
26,72.12,-17,17,705,0,11,63
27,25.2,-386.1,18,705,0.8,11,63
28,72.12,-16.1,18,705,0,11,63
29,25.2,-386.4,19,705,0.8,11,63
30,72.12,-15.8,19,705,0,11,63
31,25.2,-388.4,20,705,0.8,11,63
32,72.12,-13.8,20,705,0,11,63
33,25.2,-390.6,21,705,0.8,11,63
34,72.12,-11.6,21,705,0,11,63
35,25.2,-392.1,22,705,0.8,11,63
36,72.12,-10.1,22,705,0,11,63
37,25.2,-393.3,23,705,0.8,11,63
38,72.12,-8.9,23,705,0,11,63
39,25.2,-394.1,24,705,0.8,11,63
40,72.12,-8.1,24,705,0,11,63
41,72.12,-397,1,706,0.8,11,58.4
42,72.12,-397,2,706,0.8,11,58.4
43,72.12,-397,3,706,0.8,11,58.4
44,72.12,-397,4,706,0.8,11,58.4
45,72.12,-397,5,706,0.8,11,58.4
46,72.12,-397,6,706,0.8,11,58.4
47,72.12,-397,7,706,0.8,11,58.4
48,72.12,-397,8,706,0.8,11,58.4
49,23.36,-80,9,706,0.8,11,58.4
50,72.12,-317,9,706,0,11,58.4
51,23.36,-120,10,706,0.8,11,58.4
52,72.12,-277,10,706,0,11,58.4
53,23.36,-120,11,706,0.8,11,58.4
54,72.12,-277,11,706,0,11,58.4
55,23.36,-120,12,706,0.8,11,58.4
56,72.12,-277,12,706,0,11,58.4
57,23.36,-120,13,706,0.8,11,58.4
58,72.12,-277,13,706,0,11,58.4
59,23.36,-140,14,706,0.8,11,58.4
60,72.12,-257,14,706,0,11,58.4
61,23.36,-270,15,706,0.8,11,58.4
62,72.12,-127,15,706,0,11,58.4
63,23.36,-383.4,16,706,0.8,11,58.4
64,72.12,-13.6,16,706,0,11,58.4
65,23.36,-384.2,17,706,0.8,11,58.4
66,72.12,-12.8,17,706,0,11,58.4
67,23.36,-385.1,18,706,0.8,11,58.4
68,72.12,-11.9,18,706,0,11,58.4
69,23.36,-385.3,19,706,0.8,11,58.4
70,72.12,-11.7,19,706,0,11,58.4
71,23.36,-387.4,20,706,0.8,11,58.4
72,72.12,-9.6,20,706,0,11,58.4
73,23.36,-389.5,21,706,0.8,11,58.4
74,72.12,-7.5,21,706,0,11,58.4
75,23.36,-391.1,22,706,0.8,11,58.4
76,72.12,-5.9,22,706,0,11,58.4
77,23.36,-392.2,23,706,0.8,11,58.4
