"MP","LC","FC","VC","RU","RD"
705,11,0,63,NA,NA
706,11,0,58.4,NA,NA
707,11,25900,49,NA,NA
708,11,0,66.71,NA,NA
709,11,50770,99.1,NA,NA
710,11,53878,95.84,NA,NA
711,11,61156,94.66,NA,NA
712,11,19052,62.95,NA,NA
713,11,38134,77.15,NA,NA
714,11,86000,54.33,NA,NA
715,11,6000,99,NA,NA
716,11,6000,130.12,NA,NA
717,11,6000,131.41,NA,NA
718,11,6000,102.39,NA,NA
719,11,6000,139.25,NA,NA
720,11,6000,116.8,NA,NA
721,11,6000,96.66,NA,NA
722,11,6000,138.75,NA,NA
723,11,0,136.78,NA,NA
724,11,6000,122.23,NA,NA
725,11,24000,45.5,120,120
726,11,40000,43,120,180
727,11,50000,45.5,120,120
728,11,0,44.02,NA,NA
729,11,17000,74,150,150
730,11,17000,77,150,150
731,11,33000,89,150,150
732,11,0,98.7,NA,NA
733,11,0,115,NA,NA
734,11,1211444,106.92,NA,NA
735,11,0,47,NA,NA
736,11,79754,49.25,NA,NA
737,11,82769,44,NA,NA
738,11,0,38,NA,NA
739,11,70000,42,NA,NA
740,11,40000,42,NA,NA
741,11,0,41.26,NA,NA
742,11,45001,62.36,NA,NA
743,11,45001,62.36,NA,NA
744,11,26715,99,NA,NA
745,11,57530,99,NA,NA
746,11,71573,74.08,NA,NA
747,11,71573,74.08,NA,NA
748,11,0,81.86,NA,NA
749,11,43183,82.38,NA,NA
750,11,45171,84.27,NA,NA
751,11,60161,81.62,NA,NA
752,11,40942,83.78,NA,NA
753,11,28040,100.16,NA,NA
754,11,0,99.7,NA,NA
755,11,0,73.45,NA,NA
756,11,103742,67.6,NA,NA
757,11,0,77.46,NA,NA
758,11,0,95,NA,NA
759,11,0,61.18,NA,NA
760,11,0,60.53,NA,NA
761,11,0,80.97,NA,NA
762,11,97958,52.21,NA,NA
763,11,65061,96.61,NA,NA
764,11,65882,64.25,NA,NA
765,11,107735,93.43,NA,NA
766,11,0,75.53,NA,NA
767,11,0,76.07,NA,NA
768,11,0,105,NA,NA
769,11,0,77.75,NA,NA
770,11,105742,55.64,NA,NA
771,11,150348,85.14,NA,NA
772,11,0,75.96,NA,NA
773,11,0,95,NA,NA
774,11,0,71.53,NA,NA
775,11,0,71.5,NA,NA
776,11,0,82.25,NA,NA
777,12,80000,23,60,138
778,12,80000,18,60,138
779,12,140000,180,42,150
780,12,50000,45,42,150
781,12,50000,32,96,150
782,12,20000,29.2,NA,NA
783,12,20000,29.4,NA,NA
784,12,150000,76,NA,NA
785,12,150000,76.5,NA,NA
786,12,20000,73.1,NA,NA
787,12,20000,71.65,NA,NA
788,12,50000,73.5,NA,NA
789,12,56866,99,NA,NA
790,12,56866,99,NA,NA
