"from","too","t","linecap"
12,11,1,2100
11,12,1,2250
12,11,2,2100
11,12,2,2100
12,11,3,2100
11,12,3,1700
12,11,4,2100
11,12,4,1600
12,11,5,2100
11,12,5,1550
12,11,6,2100
11,12,6,1550
12,11,7,2100
11,12,7,1550
12,11,8,2100
11,12,8,1750
12,11,9,2100
11,12,9,1950
12,11,10,2100
11,12,10,2400
12,11,11,2100
11,12,11,2400
12,11,12,2100
11,12,12,2400
12,11,13,2100
11,12,13,2400
12,11,14,2100
11,12,14,2400
12,11,15,2100
11,12,15,2400
12,11,16,2100
11,12,16,2400
12,11,17,2100
11,12,17,2400
12,11,18,2100
11,12,18,2400
12,11,19,2100
11,12,19,2400
12,11,20,2100
11,12,20,2400
12,11,21,2100
11,12,21,2400
12,11,22,2100
11,12,22,2400
12,11,23,2100
11,12,23,2400
12,11,24,2100
11,12,24,2400
