"MP","LC","FC","VC","RU","RD"
1141,11,0,65,NA,NA
1142,11,0,62.2,NA,NA
1143,11,0,99.5,NA,NA
1144,11,0,99.7,NA,NA
1145,11,0,115,NA,NA
1146,11,0,180.3,NA,NA
1147,11,0,98.7,NA,NA
1148,11,0,66.6,NA,NA
1149,11,50770,100.1,NA,NA
1150,11,53878,97.93,NA,NA
1151,11,61156,96.69,NA,NA
1152,11,18600,50.5,NA,NA
1153,11,24000,45.5,120,120
1154,11,40000,43,120,180
1155,11,50000,45.5,120,120
1156,11,70000,83.02,NA,NA
1157,11,17000,74,150,150
1158,11,17000,77,150,150
1159,11,33000,89,150,150
1160,11,0,66.43,NA,NA
1161,11,0,46.61,NA,NA
1162,11,0,77.46,NA,NA
1163,11,0,61.18,NA,NA
1164,11,0,60.53,NA,NA
1165,11,0,95,NA,NA
1166,11,0,80.97,NA,NA
1167,11,98178,52.21,NA,NA
1168,11,65754,96.61,NA,NA
1169,11,66314,64.25,NA,NA
1170,11,108597,93.43,NA,NA
1171,11,0,75.53,NA,NA
1172,11,0,76.07,NA,NA
1173,11,0,77.55,NA,NA
1174,11,0,90,NA,NA
1175,11,106454,55.64,NA,NA
1176,11,151458,85.14,NA,NA
1177,11,0,75.96,NA,NA
1178,11,0,71.53,NA,NA
1179,11,0,71.53,NA,NA
1180,11,0,62.58,NA,NA
1181,11,0,82.25,NA,NA
1182,11,19052,62.95,NA,NA
1183,11,86000,54.33,NA,NA
1184,11,6000,99,NA,NA
1185,11,6000,131.12,NA,NA
1186,11,6000,132.41,NA,NA
1187,11,6000,102.39,NA,NA
1188,11,6000,116.8,NA,NA
1189,11,6000,96.66,NA,NA
1190,11,6000,138.75,NA,NA
1191,11,6000,130.78,NA,NA
1192,11,6000,122.23,NA,NA
1193,11,1211444,106.92,NA,NA
1194,11,0,49.25,NA,NA
1195,11,83387,44,NA,NA
1196,11,83387,45,NA,NA
1197,11,83387,42,NA,NA
1198,11,0,42,NA,NA
1199,11,0,41.26,NA,NA
1200,11,45001,62.36,NA,NA
1201,11,45001,62.36,NA,NA
1202,11,26715,99,NA,NA
1203,11,57530,99,NA,NA
1204,11,71573,74.08,NA,NA
1205,11,0,81.86,NA,NA
1206,11,43183,82.38,NA,NA
1207,11,45171,84.27,NA,NA
1208,11,60161,81.62,NA,NA
1209,11,40942,83.78,NA,NA
1210,11,28040,100.16,NA,NA
1211,12,80000,23,60,138
1212,12,80000,18,60,138
1213,12,140000,180,42,150
1214,12,50000,38,90,150
1215,12,50000,32,108,150
1216,12,0,29.2,NA,NA
1217,12,0,29.3,NA,NA
1218,12,0,29.4,NA,NA
1219,12,0,29.5,NA,NA
1220,12,150000,76,NA,NA
1221,12,150000,76.5,NA,NA
1222,12,20000,73.1,NA,NA
1223,12,20000,71.65,NA,NA
1224,12,50000,73.5,NA,NA
1225,12,56866,99,NA,NA
1226,12,56866,99,NA,NA
