"H","PH","QH","TH","MP","AR","LH","VH"
1,72.12,-402.2,1,1141,0.8,11,65
2,72.12,-402.2,2,1141,0.8,11,65
3,72.12,-402.2,3,1141,0.8,11,65
4,72.12,-402.2,4,1141,0.8,11,65
5,72.12,-402.2,5,1141,0.8,11,65
6,72.12,-402.2,6,1141,0.8,11,65
7,72.12,-402.2,7,1141,0.8,11,65
8,72.12,-402.2,8,1141,0.8,11,65
9,26,-80,9,1141,0.8,11,65
10,72.12,-322.2,9,1141,0,11,65
11,26,-120,10,1141,0.8,11,65
12,72.12,-282.2,10,1141,0,11,65
13,26,-120,11,1141,0.8,11,65
14,72.12,-282.2,11,1141,0,11,65
15,26,-120,12,1141,0.8,11,65
16,72.12,-282.2,12,1141,0,11,65
17,26,-120,13,1141,0.8,11,65
18,72.12,-282.2,13,1141,0,11,65
19,26,-135,14,1141,0.8,11,65
20,72.12,-267.2,14,1141,0,11,65
21,26,-275,15,1141,0.8,11,65
22,72.12,-127.2,15,1141,0,11,65
23,26,-381.7,16,1141,0.8,11,65
24,72.12,-20.5,16,1141,0,11,65
25,26,-383.4,17,1141,0.8,11,65
26,72.12,-18.8,17,1141,0,11,65
27,26,-385.3,18,1141,0.8,11,65
28,72.12,-16.9,18,1141,0,11,65
29,26,-386.7,19,1141,0.8,11,65
30,72.12,-15.5,19,1141,0,11,65
31,26,-388.5,20,1141,0.8,11,65
32,72.12,-13.7,20,1141,0,11,65
33,26,-390.9,21,1141,0.8,11,65
34,72.12,-11.3,21,1141,0,11,65
35,26,-392.8,22,1141,0.8,11,65
36,72.12,-9.4,22,1141,0,11,65
37,26,-393.4,23,1141,0.8,11,65
38,72.12,-8.8,23,1141,0,11,65
39,26,-394.4,24,1141,0.8,11,65
40,72.12,-7.8,24,1141,0,11,65
41,72.12,-397,1,1142,0.8,11,62.2
42,72.12,-397,2,1142,0.8,11,62.2
43,72.12,-397,3,1142,0.8,11,62.2
44,72.12,-397,4,1142,0.8,11,62.2
45,72.12,-397,5,1142,0.8,11,62.2
46,72.12,-397,6,1142,0.8,11,62.2
47,72.12,-397,7,1142,0.8,11,62.2
48,72.12,-397,8,1142,0.8,11,62.2
49,24.88,-80,9,1142,0.8,11,62.2
50,72.12,-317,9,1142,0,11,62.2
51,24.88,-120,10,1142,0.8,11,62.2
52,72.12,-277,10,1142,0,11,62.2
53,24.88,-120,11,1142,0.8,11,62.2
54,72.12,-277,11,1142,0,11,62.2
55,24.88,-120,12,1142,0.8,11,62.2
56,72.12,-277,12,1142,0,11,62.2
57,24.88,-120,13,1142,0.8,11,62.2
58,72.12,-277,13,1142,0,11,62.2
59,24.88,-140,14,1142,0.8,11,62.2
60,72.12,-257,14,1142,0,11,62.2
61,24.88,-270,15,1142,0.8,11,62.2
62,72.12,-127,15,1142,0,11,62.2
63,24.88,-380.7,16,1142,0.8,11,62.2
64,72.12,-16.3,16,1142,0,11,62.2
65,24.88,-382.4,17,1142,0.8,11,62.2
66,72.12,-14.6,17,1142,0,11,62.2
67,24.88,-384.3,18,1142,0.8,11,62.2
68,72.12,-12.7,18,1142,0,11,62.2
69,24.88,-385.7,19,1142,0.8,11,62.2
70,72.12,-11.3,19,1142,0,11,62.2
71,24.88,-387.5,20,1142,0.8,11,62.2
72,72.12,-9.5,20,1142,0,11,62.2
